,cluster,protein
0,0,Q0182
1,0,Q0017
2,0,Q0092
3,0,Q0297
4,0,Q0010
5,0,Q0143
6,0,Q0032
7,0,Q0142
8,1,YER048W-A
9,1,YOR226C
10,1,YJR122W
11,1,YPL252C
12,1,YPR067W
13,1,YPL059W
14,1,YPL135W
15,1,YKL040C
16,1,YCL017C
17,1,YLL027W
18,2,YLR369W
19,2,YDL120W
20,2,YGL018C
21,3,YMR301C
22,4,YOR196C
23,5,YNL310C
24,5,YNL328C
25,5,YFL016C
26,5,YOR232W
27,6,YGL220W
28,6,YER174C
29,6,YAL046C
30,6,YAL044W-A
31,7,YGR063C
32,7,YOR151C
33,7,YKR062W
34,7,YMR039C
35,7,YBR279W
36,7,YPR133C
37,7,YIL143C
38,7,YLR226W
39,7,YKL160W
40,7,YML112W
41,7,YGL130W
42,7,YPR056W
43,7,YJR072C
44,7,YOR194C
45,7,YOR352W
46,7,YDR079C-A
47,7,YER139C
48,7,YBR236C
49,7,YJL006C
50,7,YGL043W
51,7,YDL140C
52,7,YLR418C
53,7,YJR017C
54,7,YMR277W
55,7,YDR460W
56,7,YPL228W
57,7,YGR116W
58,7,YGL070C
59,7,YGL244W
60,7,YIL021W
61,7,YOL005C
62,7,YOR123C
63,7,YGR005C
64,7,YML010W
65,7,YPL122C
66,7,YJL140W
67,7,YKL058W
68,7,YPR086W
69,7,YDR289C
70,7,YDR404C
71,7,YDL108W
72,7,YKL028W
73,7,YPR161C
74,7,YKL005C
75,7,YKL139W
76,7,YPR025C
77,7,YGR186W
78,8,YBL022C
79,9,YOR210W
80,9,YKL125W
81,9,YLR243W
82,9,YNL113W
83,9,YJL148W
84,9,YPR187W
85,9,YJR063W
86,9,YHR143W-A
87,9,YDR156W
88,9,YBR154C
89,9,YOR224C
90,9,YDL115C
91,9,YPR110C
92,10,YDR397C
93,10,YNL039W
94,10,YNL151C
95,10,YJL011C
96,10,YML098W
97,10,YDR145W
98,10,YKR025W
99,10,YER159C
100,10,YPR190C
101,10,YBR123C
102,10,YDR167W
103,10,YPL011C
104,10,YML114C
105,10,YDL070W
106,10,YCR042C
107,10,YKL144C
108,10,YDR045C
109,10,YER148W
110,10,YGR246C
111,10,YDR362C
112,10,YDL150W
113,10,YAL001C
114,10,YNR003C
115,10,YMR227C
116,10,YBR198C
117,10,YMR236W
118,10,YOR110W
119,10,YPL007C
120,10,YOR207C
121,10,YOR116C
122,10,YGL112C
123,10,YPL082C
124,10,YML015C
125,10,YGR047C
126,10,YGR274C
127,10,YPR186C
128,10,YMR005W
129,11,YER171W
130,11,YJR052W
131,11,YDR311W
132,11,YLR005W
133,12,YLR071C
134,12,YOL051W
135,12,YOL135C
136,12,YDR308C
137,12,YHR058C
138,12,YBL093C
139,12,YOR174W
140,12,YGL151W
141,12,YPR168W
142,12,YPR070W
143,12,YBR193C
144,12,YNL236W
145,12,YGL127C
146,12,YER022W
147,12,YNL025C
148,12,YCR081W
149,12,YMR112C
150,12,YHR041C
151,12,YDL005C
152,12,YDR443C
153,12,YNR010W
154,12,YBR253W
155,12,YGL025C
156,12,YGR104C
157,13,YOL148C
158,13,YER164W
159,13,YJR082C
160,13,YDR448W
161,13,YBR081C
162,13,YGL066W
163,13,YCR082W
164,13,YMR127C
165,13,YPL254W
166,13,YLR055C
167,13,YBR111W-A
168,13,YHR090C
169,13,YMR223W
170,13,YDR392W
171,13,YCL010C
172,13,YOR023C
173,13,YPL047W
174,13,YDR176W
175,13,YGR252W
176,14,YJL047C
177,14,YPL046C
178,14,YOL133W
179,14,YNL230C
180,14,YPR164W
181,14,YLR306W
182,14,YLR320W
183,15,YPL042C
184,15,YOL128C
185,16,YHR111W
186,16,YMR312W
187,16,YPL086C
188,16,YLR384C
189,16,YHR187W
190,16,YNL119W
191,16,YKL110C
192,16,YGR200C
193,16,YPL101W
194,16,YGL211W
195,17,YMR186W
196,17,YGR123C
197,17,YOR298C-A
198,17,YBR155W
199,17,YJR032W
200,17,YDR168W
201,17,YDR214W
202,17,YLR216C
203,17,YOR057W
204,17,YPL240C
205,17,YNL281W
206,17,YKL117W
207,17,YOR027W
208,18,YLR455W
209,18,YDL002C
210,18,YPR031W
211,18,YPL129W
212,18,YOR064C
213,18,YKL017C
214,19,YPR052C
215,19,YBR089C-A
216,19,YML069W
217,19,YGL207W
218,20,YFR016C
219,20,YOL145C
220,21,YJR035W
221,21,YDR030C
222,21,YKL054C
223,22,YNL248C
224,22,YIL019W
225,22,YDR365C
226,22,YIL091C
227,22,YGL120C
228,22,YGL171W
229,22,YDR412W
230,22,YLR222C
231,22,YOL010W
232,22,YOR145C
233,22,YGL111W
234,22,YBR142W
235,22,YKL172W
236,22,YMR014W
237,22,YLR409C
238,22,YJL069C
239,22,YDR299W
240,22,YJR091C
241,22,YIR012W
242,22,YJL010C
243,22,YLR129W
244,22,YPR137W
245,22,YHR065C
246,22,YOR272W
247,22,YOL080C
248,22,YHR197W
249,22,YGR251W
250,22,YLL008W
251,22,YKL099C
252,22,YBL004W
253,22,YHR085W
254,22,YNL132W
255,22,YDL063C
256,22,YER127W
257,22,YOR119C
258,22,YLR175W
259,22,YDL167C
260,22,YLR196W
261,22,YNR038W
262,22,YNL124W
263,22,YIL127C
264,22,YMR290C
265,22,YPL126W
266,22,YHR052W
267,22,YDR361C
268,22,YCR057C
269,22,YMR093W
270,22,YCL031C
271,22,YFR001W
272,22,YMR128W
273,22,YER082C
274,22,YLR401C
275,22,YNL075W
276,22,YDR339C
277,22,YPL012W
278,22,YER036C
279,22,YLL011W
280,22,YDR161W
281,22,YNL227C
282,22,YDL060W
283,22,YKL014C
284,22,YNL112W
285,22,YOR287C
286,22,YGL029W
287,22,YBR034C
288,22,YER006W
289,22,YDR324C
290,22,YFL002C
291,22,YDR496C
292,22,YDL148C
293,22,YLR009W
294,22,YNR053C
295,22,YOL041C
296,22,YIL035C
297,22,YHR148W
298,22,YDL213C
299,22,YKL143W
300,22,YNL062C
301,22,YDR083W
302,22,YPL211W
303,22,YER126C
304,22,YNR054C
305,22,YMR229C
306,22,YPL146C
307,22,YDR312W
308,22,YPL266W
309,22,YPL239W
310,22,YPL226W
311,22,YNL308C
312,22,YJL033W
313,22,YDR087C
314,22,YJR002W
315,22,YMR049C
316,22,YOR206W
317,22,YCR087C-A
318,22,YDR449C
319,22,YKR060W
320,22,YNL110C
321,22,YGR128C
322,22,YOR056C
323,22,YGL014W
324,22,YLR276C
325,22,YDR398W
326,22,YGR245C
327,22,YOR294W
328,22,YPL043W
329,22,YHR169W
330,22,YKR024C
331,22,YHR170W
332,22,YGR081C
333,22,YHR066W
334,22,YGL019W
335,22,YNL207W
336,22,YOR039W
337,22,YNL182C
338,22,YDL051W
339,22,YGR090W
340,22,YOR061W
341,22,YAL025C
342,22,YGR271C-A
343,22,YHR088W
344,22,YLR003C
345,22,YER156C
346,22,YDL153C
347,22,YML074C
348,22,YBR247C
349,22,YGR280C
350,22,YAL059W
351,22,YOR340C
352,22,YBR267W
353,22,YLL034C
354,22,YBL028C
355,22,YPL217C
356,22,YLR106C
357,22,YKR081C
358,22,YKL009W
359,22,YLR435W
360,22,YLR186W
361,22,YOR078W
362,22,YNL175C
363,22,YGR103W
364,22,YER002W
365,22,YOL144W
366,22,YJL122W
367,22,YHR196W
368,22,YLR336C
369,22,YNL163C
370,22,YLR022C
371,22,YGR145W
372,22,YIR026C
373,22,YGL099W
374,22,YOR004W
375,22,YKL021C
376,22,YLR221C
377,22,YEL055C
378,22,YDR174W
379,22,YKR056W
380,22,YDR101C
381,22,YGR187C
382,22,YNL224C
383,22,YMR131C
384,22,YKL082C
385,22,YLR074C
386,22,YDR194C
387,22,YMR269W
388,22,YJL109C
389,22,YCL054W
390,22,YPR112C
391,22,YGL078C
392,22,YNL061W
393,22,YCL059C
394,22,YOL077C
395,22,YML093W
396,22,YLR449W
397,22,YJR041C
398,22,YBR192W
399,22,YKR092C
400,22,YDR184C
401,22,YPL093W
402,22,YNL035C
403,22,YOR309C
404,22,YLR051C
405,22,YGR159C
406,22,YDL031W
407,22,YPR143W
408,22,YPR144C
409,22,YCR072C
410,22,YDL208W
411,22,YDR060W
412,22,YLR002C
413,23,YKL126W
414,23,YHR205W
415,23,YDR005C
416,24,YGR095C
417,24,YNR024W
418,24,YGR158C
419,24,YNL251C
420,24,YHR069C
421,24,YMR239C
422,24,YOL021C
423,24,YLR430W
424,24,YGR195W
425,24,YMR287C
426,24,YPR189W
427,24,YDR374C
428,24,YNL299W
429,24,YDR280W
430,24,YDR293C
431,24,YPL190C
432,24,YDL111C
433,24,YCR035C
434,24,YIL079C
435,24,YNL232W
436,24,YDL175C
437,24,YJL050W
438,24,YOR001W
439,24,YOL115W
440,24,YOL142W
441,24,YHR081W
442,24,YLR398C
443,25,YPR010C
444,25,YPL263C
445,25,YOR341W
446,26,YGL050W
447,26,YPL207W
448,26,YOL141W
449,26,YML005W
450,26,YHR070W
451,27,YMR271C
452,27,YNR012W
453,27,YDR007W
454,27,YOR128C
455,27,YKL024C
456,27,YLR014C
457,27,YEL063C
458,27,YOR202W
459,27,YKL216W
460,27,YLR420W
461,27,YML106W
462,27,YDR020C
463,27,YEL021W
464,28,YER005W
465,29,YHR128W
466,29,YDR400W
467,30,YLR245C
468,30,YHR144C
469,31,YNL002C
470,31,YDR012W
471,31,YLR061W
472,31,YOR361C
473,31,YGR169C-A
474,31,YLR048W
475,31,YBR079C
476,31,YDR429C
477,31,YJR145C
478,31,YMR143W
479,31,YPR016C
480,31,YGR054W
481,31,YMR309C
482,31,YLR264W
483,31,YDR450W
484,31,YGR085C
485,31,YMR012W
486,31,YNL162W
487,31,YHL015W
488,31,YDR447C
489,31,YGL076C
