,inflation,modularity,percentage_connected,sensitivity_yhtp,positive_predicted_value_yhtp,accuracy_yhtp,fraction_matched_yhtp,separation_yhtp,precision_jaccard_yhtp,recall_jaccard_yhtp,f_measure_jaccard_yhtp,sensitivity_sgd,positive_predicted_value_sgd,accuracy_sgd,fraction_matched_sgd,separation_sgd,precision_jaccard_sgd,recall_jaccard_sgd,f_measure_jaccard_sgd,filepath,num_clusters,gt_5,gt_10,gt_15,gt_20,gt_25
0,1.1,,0.90625,0.836009732,0.195260175,0.404028968,0.004,0.151152318,0,0,0,0.931740614,0.139175258,0.360104485,0.003095975,0.176300047,0,0,0,..\/data/clusters/mcl/icp55-cc-900-inv.mcl-1.1.csv,32,0.9375,0.8125,0.75,0.65625,0.625
1,1.2,,0.931506849,0.82919708,0.245234415,0.450940862,0.02,0.207798456,0.02739726,0.004,0.006980803,0.913538111,0.178694158,0.404034558,0.018575851,0.207600347,0.02739726,0.00619195,0.01010101,..\/data/clusters/mcl/icp55-cc-900-inv.mcl-1.2.csv,73,0.904109589,0.698630137,0.534246575,0.438356164,0.383561644
2,1.3,,0.953488372,0.81703163,0.306543019,0.500455135,0.04,0.233547378,0.054263566,0.014,0.022257552,0.899886234,0.250859107,0.475125938,0.046439628,0.230074408,0.046511628,0.018575851,0.026548673,..\/data/clusters/mcl/icp55-cc-900-inv.mcl-1.3.csv,129,0.775193798,0.519379845,0.364341085,0.317829457,0.271317829
3,1.4,,0.977653631,0.811678832,0.34672849,0.530501815,0.054,0.245455972,0.05027933,0.018,0.026509573,0.890216155,0.269186712,0.489524627,0.06501548,0.224676541,0.027932961,0.015479876,0.019920319,..\/data/clusters/mcl/icp55-cc-900-inv.mcl-1.4.csv,179,0.69273743,0.430167598,0.318435754,0.240223464,0.206703911
4,1.5,,0.982608696,0.77080292,0.36888202,0.533231036,0.072,0.25884275,0.065217391,0.03,0.04109589,0.893060296,0.296678121,0.51473435,0.086687307,0.231015169,0.039130435,0.027863777,0.032549729,..\/data/clusters/mcl/icp55-cc-900-inv.mcl-1.5.csv,230,0.613043478,0.347826087,0.273913043,0.204347826,0.17826087
5,1.6,,0.992592593,0.762043796,0.391035549,0.545881135,0.088,0.277057915,0.062962963,0.034,0.044155844,0.874288965,0.323024055,0.531428609,0.105263158,0.233684027,0.037037037,0.034055728,0.035483871,..\/data/clusters/mcl/icp55-cc-900-inv.mcl-1.6.csv,270,0.548148148,0.303703704,0.22962963,0.185185185,0.155555556
6,1.7,,1,0.764476886,0.42503864,0.570028259,0.114,0.294324511,0.082568807,0.058,0.068137319,0.878270762,0.344215349,0.549831135,0.154798762,0.243874328,0.04587156,0.049535604,0.047633224,..\/data/clusters/mcl/icp55-cc-900-inv.mcl-1.7.csv,327,0.49235474,0.259938838,0.186544343,0.143730887,0.113149847
7,1.8,,1,0.764963504,0.452344152,0.5882404,0.146,0.314631205,0.078590786,0.066,0.071747198,0.875426621,0.367124857,0.566913462,0.179566563,0.253538724,0.043360434,0.052631579,0.047548291,..\/data/clusters/mcl/icp55-cc-900-inv.mcl-1.8.csv,369,0.471544715,0.262872629,0.18699187,0.132791328,0.111111111
8,1.9,,0.98313253,0.761557178,0.479134467,0.604059842,0.162,0.323754909,0.079518072,0.074,0.076659865,0.868031854,0.394616266,0.585268732,0.213622291,0.264521999,0.045783133,0.061919505,0.052642516,..\/data/clusters/mcl/icp55-cc-900-inv.mcl-1.9.csv,415,0.426506024,0.238554217,0.173493976,0.127710843,0.101204819
9,2,,0.986636971,0.755231144,0.498196806,0.613395259,0.184,0.339200655,0.095768374,0.094,0.094875948,0.857224118,0.411798396,0.594140991,0.250773994,0.270020672,0.051224944,0.074303406,0.060642681,..\/data/clusters/mcl/icp55-cc-900-inv.mcl-2.0.csv,449,0.420935412,0.222717149,0.151447661,0.118040089,0.080178174
10,2.1,,0.985801217,0.745012165,0.518289541,0.621395215,0.202,0.347729125,0.095334686,0.102,0.098554777,0.843003413,0.432989691,0.604162054,0.291021672,0.273438128,0.062880325,0.099071207,0.076932025,..\/data/clusters/mcl/icp55-cc-900-inv.mcl-2.1.csv,493,0.407707911,0.208924949,0.139959432,0.099391481,0.06693712
11,2.2,,0.985267035,0.738686131,0.535291087,0.62881802,0.228,0.348741714,0.099447514,0.118,0.107932314,0.835608646,0.449599084,0.612934647,0.297213622,0.272824853,0.069981584,0.120743034,0.088607217,..\/data/clusters/mcl/icp55-cc-900-inv.mcl-2.2.csv,543,0.384898711,0.191528545,0.114180479,0.082872928,0.055248619
12,2.3,,0.978040541,0.736253041,0.546110252,0.634094105,0.25,0.348867974,0.106418919,0.138,0.120169182,0.836177474,0.457044674,0.61819937,0.3374613,0.268745307,0.077702703,0.145510836,0.101307343,..\/data/clusters/mcl/icp55-cc-900-inv.mcl-2.3.csv,592,0.347972973,0.165540541,0.096283784,0.065878378,0.052364865
13,2.4,,0.9765625,0.730900243,0.564657393,0.642423712,0.262,0.35467356,0.103125,0.142,0.119479857,0.822525597,0.471363116,0.62266221,0.359133127,0.270381851,0.078125,0.160990712,0.105199272,..\/data/clusters/mcl/icp55-cc-900-inv.mcl-2.4.csv,640,0.328125,0.1578125,0.0859375,0.0625,0.0484375
