,cluster,protein
0,0,YKL009W
1,0,YGR245C
2,0,YDR083W
3,0,YBR267W
4,0,YDR449C
5,0,YHR052W
6,0,YPR010C
7,0,YGL111W
8,0,YDR465C
9,0,YDL148C
10,0,YGL171W
11,0,YIR026C
12,0,YKR092C
13,0,YGR218W
14,0,YGR280C
15,0,YPR016C
16,0,YMR093W
17,0,YGL120C
18,0,YNL075W
19,0,YPL126W
20,0,YGL019W
21,0,YOL041C
22,0,YBR142W
23,0,YMR290C
24,0,YGR251W
25,0,YCL031C
26,0,YDR194C
27,0,YPL093W
28,0,YLR129W
29,0,YHR169W
30,0,YGR103W
31,0,YNL175C
32,0,YCR087C-A
33,0,YKR024C
34,0,YFR001W
35,0,YDR324C
36,0,YMR229C
37,0,YMR014W
38,0,YJL109C
39,0,YGL029W
40,0,YGR128C
41,0,YOR272W
42,0,YNR054C
43,0,YGR159C
44,0,YKL172W
45,0,YLR276C
46,0,YOR206W
47,0,YIL035C
48,0,YER127W
49,0,YDL060W
50,0,YOR119C
51,0,YHR088W
52,0,YIL091C
53,0,YNL308C
54,0,YLR221C
55,0,YLR051C
56,0,YOR294W
57,0,YGR081C
58,0,YHR065C
59,0,YHR085W
60,0,YKL082C
61,0,YPL211W
62,0,YDR060W
63,0,YDR312W
64,0,YLR186W
65,0,YOR039W
66,0,YDR361C
67,0,YDR087C
68,0,YOL010W
69,0,YPL012W
70,0,YNL248C
71,0,YOR078W
72,0,YOR340C
73,0,YDL063C
74,0,YLR397C
75,0,YLR175W
76,0,YLR002C
77,0,YIL019W
78,0,YOR046C
79,0,YKL143W
80,0,YML074C
81,0,YJL069C
82,0,YLL011W
83,0,YPL226W
84,0,YCR072C
85,0,YMR217W
86,0,YNL061W
87,0,YEL055C
88,0,YPR137W
89,0,YDL201W
90,0,YOR341W
91,0,YDR165W
92,0,YER110C
93,0,YOR061W
94,0,YDR120C
95,0,YPL169C
96,0,YDR161W
97,0,YCL059C
98,0,YHR066W
99,0,YLR197W
100,0,YNR053C
101,0,YDL051W
102,0,YNL227C
103,0,YCR057C
104,0,YLR435W
105,0,YLL034C
106,0,YJL125C
107,0,YOR287C
108,0,YDL014W
109,0,YLR409C
110,0,YAL025C
111,0,YLR449W
112,0,YKL099C
113,0,YOR004W
114,0,YNL062C
115,0,YMR049C
116,0,YPL266W
117,0,YOL077C
118,0,YKR060W
119,0,YJL050W
120,0,YLR196W
121,0,YCL054W
122,0,YAL059W
123,0,YKR056W
124,0,YDR496C
125,0,YLL008W
126,0,YOR309C
127,0,YML093W
128,0,YDR299W
129,0,YPR163C
130,0,YHR148W
131,0,YNR038W
132,0,YLR074C
133,0,YLR003C
134,0,YER006W
135,0,YKL014C
136,0,YNL124W
137,0,YJR002W
138,0,YNL292W
139,0,YOR145C
140,0,YBL028C
141,0,YER002W
142,0,YBL024W
143,0,YOR056C
144,0,YMR128W
145,0,YJL033W
146,0,YDL153C
147,0,YKL078W
148,0,YER036C
149,0,YJR070C
150,0,YPL146C
151,0,YNL112W
152,0,YKR079C
153,0,YPR112C
154,0,YDR398W
155,0,YBL004W
156,0,YOR310C
157,0,YKL021C
158,0,YHR170W
159,0,YPR143W
160,0,YHR197W
161,0,YLR106C
162,0,YBL039C
163,0,YMR131C
164,0,YGR145W
165,0,YDR365C
