,cluster,protein
0,0,4932.Q0010
1,0,4932.Q0017
2,0,4932.Q0143
3,0,4932.Q0092
4,0,4932.Q0182
5,0,4932.Q0297
6,0,4932.Q0032
7,0,4932.Q0142
8,1,4932.YPL135W
9,1,4932.YCL017C
10,1,4932.YDL120W
11,1,4932.YER048W-A
12,1,4932.YGL018C
13,1,4932.YJR122W
14,1,4932.YKL040C
15,1,4932.YLL027W
16,1,4932.YLR369W
17,1,4932.YMR301C
18,1,4932.YOR196C
19,1,4932.YPL059W
20,1,4932.YPL252C
21,1,4932.YPR067W
22,1,4932.YAL044W-A
23,1,4932.YAL046C
24,1,4932.YOR226C
25,2,4932.YOR232W
26,2,4932.YDR376W
27,2,4932.YJR045C
28,2,4932.YNL328C
29,2,4932.YEL030W
30,2,4932.YFL016C
31,3,4932.YGL043W
32,3,4932.YBR154C
33,3,4932.YBR279W
34,3,4932.YDL108W
35,3,4932.YDL140C
36,3,4932.YDR079C-A
37,3,4932.YDR311W
38,3,4932.YDR404C
39,3,4932.YDR443C
40,3,4932.YER171W
41,3,4932.YGL070C
42,3,4932.YOR210W
43,3,4932.YPR133C
44,3,4932.YPL122C
45,3,4932.YGR116W
46,3,4932.YOR123C
47,3,4932.YPL042C
48,3,4932.YOR224C
49,3,4932.YHR143W-A
50,3,4932.YLR418C
51,3,4932.YGL127C
52,3,4932.YGL244W
53,3,4932.YPR086W
54,3,4932.YML010W
55,3,4932.YPR187W
56,3,4932.YPR161C
57,3,4932.YKL028W
58,3,4932.YIL021W
59,3,4932.YGR063C
60,3,4932.YMR277W
61,3,4932.YJL006C
62,3,4932.YKR062W
63,3,4932.YGR186W
64,3,4932.YIL143C
65,3,4932.YOL005C
66,3,4932.YJR063W
67,3,4932.YOR151C
68,3,4932.YJL140W
69,3,4932.YGR005C
70,3,4932.YBR193C
71,3,4932.YBR236C
72,3,4932.YBR253W
73,3,4932.YDL115C
74,3,4932.YPR056W
75,3,4932.YLR071C
76,3,4932.YKL058W
77,3,4932.YML112W
78,3,4932.YLR005W
79,3,4932.YLR226W
80,3,4932.YDR460W
81,3,4932.YDR289C
82,3,4932.YMR112C
83,3,4932.YOR174W
84,3,4932.YPR168W
85,3,4932.YGR104C
86,3,4932.YKL139W
87,3,4932.YHR041C
88,3,4932.YPR025C
89,3,4932.YHR058C
90,3,4932.YDR308C
91,3,4932.YMR039C
92,3,4932.YER022W
93,3,4932.YOL135C
94,3,4932.YJR072C
95,3,4932.YOR194C
96,3,4932.YER139C
97,3,4932.YKL160W
98,3,4932.YGL130W
99,3,4932.YJR017C
100,3,4932.YDR156W
101,3,4932.YJL148W
102,3,4932.YBR114W
103,3,4932.YJR052W
104,3,4932.YDL005C
105,3,4932.YBL093C
106,3,4932.YCR081W
107,3,4932.YNL236W
108,3,4932.YGL151W
109,3,4932.YPR070W
110,3,4932.YGL025C
111,3,4932.YNR010W
112,3,4932.YOL051W
113,3,4932.YNL025C
114,3,4932.YDR030C
115,3,4932.YOR352W
116,3,4932.YPL228W
117,3,4932.YDR527W
118,3,4932.YER161C
119,3,4932.YKL054C
120,3,4932.YFR016C
121,4,4932.YBL022C
122,4,4932.YGR132C
123,4,4932.YGR231C
124,4,4932.YIL070C
125,4,4932.YPL159C
126,5,4932.YDR045C
127,5,4932.YER148W
128,5,4932.YER164W
129,5,4932.YNL113W
130,5,4932.YOR207C
131,5,4932.YDL150W
132,5,4932.YDR005C
133,5,4932.YDR362C
134,5,4932.YGR047C
135,5,4932.YGR246C
136,5,4932.YJL011C
137,5,4932.YKL144C
138,5,4932.YKR025W
139,5,4932.YNL039W
140,5,4932.YNL151C
141,5,4932.YNR003C
142,5,4932.YOR116C
143,5,4932.YPR190C
144,5,4932.YPR110C
145,5,4932.YGR274C
146,5,4932.YGL112C
147,5,4932.YAL001C
148,5,4932.YBR081C
149,5,4932.YBR123C
150,5,4932.YBR198C
151,5,4932.YCR042C
152,5,4932.YDR145W
153,5,4932.YDR167W
154,5,4932.YDR392W
155,5,4932.YDR397C
156,5,4932.YML015C
157,5,4932.YMR236W
158,5,4932.YER159C
159,5,4932.YPL082C
160,5,4932.YMR005W
161,5,4932.YPL011C
162,5,4932.YMR223W
163,5,4932.YML098W
164,5,4932.YOR110W
165,5,4932.YMR227C
166,5,4932.YPL007C
167,5,4932.YGL066W
168,5,4932.YPR186C
169,5,4932.YOL148C
170,5,4932.YML114C
171,5,4932.YLR055C
172,5,4932.YBR111W-A
173,5,4932.YPL047W
174,5,4932.YDL070W
175,6,4932.YNL230C
176,6,4932.YPL046C
177,6,4932.YDR328C
178,6,4932.YOL133W
179,6,4932.YDL132W
180,6,4932.YFL009W
181,6,4932.YJL047C
182,6,4932.YDR139C
183,6,4932.YGR140W
184,6,4932.YMR094W
185,6,4932.YMR168C
186,6,4932.YER116C
187,6,4932.YLR320W
188,6,4932.YPR164W
189,6,4932.YJR033C
190,6,4932.YDR332W
191,6,4932.YJR090C
192,6,4932.YDR054C
193,6,4932.YIL046W
194,6,4932.YER143W
195,6,4932.YDR202C
196,6,4932.YJL149W
197,6,4932.YNL311C
198,6,4932.YLR352W
199,6,4932.YPR066W
200,6,4932.YOR080W
201,6,4932.YER066W
202,6,4932.YLR306W
203,6,4932.YPL003W
204,6,4932.YLR128W
205,6,4932.YOL025W
206,6,4932.YIL001W
