,cluster,protein,degree,betweenness_centrality,eigenvector_centrality,degree_centrality
0,0,Q0010,6,0.119,0.417,0.857
1,0,Q0142,1,0.000,0.078,0.143
2,0,Q0182,5,0.000,0.391,0.714
3,0,Q0032,5,0.000,0.391,0.714
4,0,Q0092,2,0.000,0.161,0.286
5,0,Q0017,5,0.000,0.391,0.714
6,0,Q0143,6,0.119,0.417,0.857
7,1,YPL059W,11,0.009,0.303,1.000
8,1,YER048W-A,11,0.009,0.303,1.000
9,1,YKL040C,11,0.009,0.303,1.000
10,1,YPR067W,11,0.009,0.303,1.000
11,1,YCL017C,11,0.009,0.303,1.000
12,1,YPL252C,11,0.009,0.303,1.000
13,2,YMR301C,2,0.000,0.577,1.000
14,2,YGL018C,2,0.000,0.577,1.000
15,2,YDL120W,2,0.000,0.577,1.000
16,3,YHR024C,1,0.000,0.146,0.167
17,3,YNL310C,2,0.000,0.267,0.333
18,3,YNL328C,3,0.000,0.389,0.500
19,3,YFL016C,4,0.067,0.446,0.667
20,3,YJR045C,4,0.067,0.446,0.667
21,3,YEL030W,2,0.000,0.267,0.333
22,4,YAL046C,4,0.022,0.418,0.667
23,4,YAL044W-A,4,0.022,0.418,0.667
24,4,YDR098C,4,0.067,0.386,0.667
25,4,YER174C,4,0.067,0.386,0.667
26,5,YGR116W,19,0.005,0.091,0.311
27,5,YGL070C,32,0.008,0.180,0.525
28,5,YMR277W,21,0.010,0.106,0.344
29,5,YPL122C,30,0.004,0.174,0.492
30,5,YLR418C,19,0.004,0.092,0.311
31,5,YKL139W,15,0.004,0.067,0.246
32,5,YER139C,17,0.004,0.096,0.279
33,5,YOL005C,33,0.009,0.184,0.541
34,5,YKR062W,30,0.006,0.173,0.492
35,5,YIL143C,32,0.009,0.178,0.525
36,5,YKL028W,30,0.006,0.173,0.492
37,5,YJL140W,34,0.012,0.187,0.557
38,5,YER171W,32,0.009,0.178,0.525
39,5,YDR460W,31,0.008,0.172,0.508
40,5,YHR143W-A,30,0.012,0.171,0.492
41,6,YBL022C,0,0.000,1.000,1.000
42,7,YNL113W,15,0.004,0.205,0.385
43,7,YPR190C,16,0.003,0.220,0.410
44,7,YPR186C,7,0.000,0.094,0.179
45,7,YOR207C,16,0.003,0.219,0.410
46,7,YAL001C,9,0.001,0.100,0.231
47,7,YPR110C,15,0.004,0.205,0.385
48,7,YDR362C,11,0.003,0.134,0.282
49,7,YNL151C,15,0.002,0.209,0.385
50,7,YDL150W,16,0.003,0.220,0.410
51,7,YNR003C,15,0.001,0.211,0.385
52,8,YGL127C,24,0.014,0.222,1.000
53,8,YNL236W,24,0.014,0.222,1.000
54,8,YOL051W,22,0.007,0.210,0.917
55,8,YGR104C,22,0.005,0.211,0.917
56,8,YLR071C,24,0.014,0.222,1.000
