,cluster,protein,degree,betweenness_centrality,eigenvector_centrality,degree_centrality
0,0,Q0010,6,0.119,0.417,0.857
1,0,Q0297,6,0.286,0.403,0.857
2,0,Q0143,6,0.119,0.417,0.857
3,1,YPL059W,11,0.009,0.303,1.000
4,1,YER048W-A,11,0.009,0.303,1.000
5,1,YKL040C,11,0.009,0.303,1.000
6,1,YPR067W,11,0.009,0.303,1.000
7,1,YCL017C,11,0.009,0.303,1.000
8,1,YPL252C,11,0.009,0.303,1.000
9,2,YMR301C,2,0.000,0.577,1.000
10,2,YGL018C,2,0.000,0.577,1.000
11,2,YDL120W,2,0.000,0.577,1.000
12,3,YOR232W,6,0.533,0.535,1.000
13,3,YFL016C,4,0.067,0.446,0.667
14,3,YJR045C,4,0.067,0.446,0.667
15,4,YDR098C,4,0.067,0.386,0.667
16,4,YER174C,4,0.067,0.386,0.667
17,4,YGL220W,6,0.356,0.506,1.000
18,5,YOR224C,31,0.013,0.173,0.508
19,5,YBR154C,36,0.034,0.183,0.590
20,5,YDR079C-A,33,0.017,0.179,0.541
21,5,YPR187W,35,0.021,0.186,0.574
22,5,YOR210W,35,0.027,0.182,0.574
23,5,YGR063C,28,0.016,0.131,0.459
24,5,YML010W,36,0.085,0.144,0.590
25,5,YOR151C,40,0.040,0.197,0.656
26,5,YIL021W,41,0.047,0.200,0.672
27,5,YJL006C,21,0.012,0.089,0.344
28,5,YDL140C,54,0.191,0.220,0.885
29,5,YOL145C,15,0.034,0.060,0.246
30,5,YGL043W,37,0.037,0.181,0.607
31,5,YDL108W,28,0.020,0.139,0.459
32,5,YDR404C,35,0.013,0.189,0.574
33,5,YPR086W,34,0.015,0.188,0.557
34,6,YBL022C,0,0.000,1.000,1.000
35,7,YDR167W,14,0.009,0.101,0.359
36,7,YER148W,38,0.543,0.333,0.974
37,7,YGR274C,15,0.034,0.096,0.385
38,7,YMR227C,14,0.024,0.093,0.359
39,7,YOR116C,18,0.008,0.234,0.462
40,7,YGR246C,23,0.045,0.258,0.590
41,7,YPL082C,5,0.005,0.047,0.128
42,7,YGR047C,14,0.007,0.166,0.359
43,7,YNL039W,21,0.022,0.251,0.538
44,7,YBR123C,13,0.011,0.146,0.333
45,8,YGL127C,24,0.014,0.222,1.000
46,8,YNL236W,24,0.014,0.222,1.000
47,8,YLR071C,24,0.014,0.222,1.000
48,8,YOL135C,24,0.014,0.222,1.000
49,8,YDL005C,24,0.014,0.222,1.000
50,8,YDR308C,24,0.014,0.222,1.000
51,8,YBL093C,24,0.014,0.222,1.000
52,9,YGR252W,16,0.044,0.264,1.000
53,9,YPL254W,15,0.013,0.260,0.938
54,9,YHR099W,15,0.013,0.260,0.938
55,9,YCL010C,16,0.044,0.264,1.000
56,9,YDR448W,15,0.013,0.260,0.938
57,9,YDR176W,16,0.044,0.264,1.000
58,10,YDL132W,15,0.139,0.346,0.536
59,10,YJL047C,9,0.051,0.252,0.321
60,10,YOL133W,15,0.158,0.358,0.536
61,10,YLR128W,7,0.007,0.217,0.250
62,10,YML088W,3,0.071,0.082,0.107
63,10,YPL046C,4,0.019,0.128,0.143
64,10,YDR139C,10,0.028,0.306,0.357
65,10,YDR328C,22,0.595,0.376,0.786
66,11,YHR111W,10,0.026,0.319,0.909
67,11,YGL211W,10,0.026,0.319,0.909
68,11,YPL086C,11,0.049,0.338,1.000
69,11,YGR200C,11,0.049,0.338,1.000
70,12,YPL240C,12,0.083,0.342,1.000
71,12,YDR214W,11,0.035,0.332,0.917
72,12,YMR186W,12,0.083,0.342,1.000
73,12,YKL117W,11,0.060,0.322,0.917
74,13,YKL017C,1,0.000,0.170,0.250
75,13,YOR064C,3,0.000,0.482,0.750
76,13,YPR031W,3,0.000,0.482,0.750
77,13,YPL129W,4,0.500,0.524,1.000
78,13,YLR455W,3,0.000,0.482,0.750
79,14,YML069W,3,0.167,0.557,1.000
80,14,YGL207W,3,0.167,0.557,1.000
81,15,YJR035W,2,1.000,0.707,1.000
82,16,YPR010C,121,0.005,0.082,0.602
83,16,YLR009W,145,0.010,0.092,0.721
84,16,YGL029W,83,0.004,0.050,0.413
85,16,YGR145W,152,0.004,0.097,0.756
86,16,YPL012W,143,0.004,0.093,0.711
87,16,YOR310C,144,0.005,0.093,0.716
88,16,YGR103W,172,0.013,0.103,0.856
89,16,YOR272W,164,0.008,0.101,0.816
90,16,YDR299W,143,0.006,0.093,0.711
91,16,YDR101C,120,0.005,0.076,0.597
92,16,YPL211W,139,0.007,0.088,0.692
93,16,YPL093W,146,0.006,0.093,0.726
94,16,YLL008W,152,0.011,0.095,0.756
95,16,YMR014W,96,0.004,0.065,0.478
96,16,YHR170W,141,0.009,0.091,0.701
97,16,YKL172W,154,0.006,0.096,0.766
98,16,YKL143W,99,0.004,0.068,0.493
99,16,YNL075W,145,0.004,0.094,0.721
100,16,YLR276C,142,0.005,0.092,0.706
101,16,YLR197W,144,0.005,0.093,0.716
102,16,YCR057C,153,0.015,0.097,0.761
103,16,YMR131C,131,0.008,0.087,0.652
104,16,YGR245C,146,0.007,0.094,0.726
105,16,YOL077C,155,0.017,0.095,0.771
106,16,YKL009W,148,0.007,0.094,0.736
107,16,YPR137W,148,0.007,0.095,0.736
108,16,YCL054W,161,0.009,0.099,0.801
109,16,YNL061W,153,0.006,0.096,0.761
110,16,YBR247C,152,0.005,0.097,0.756
111,16,YOR206W,159,0.007,0.099,0.791
112,16,YLR409C,143,0.004,0.092,0.711
113,16,YHR088W,135,0.004,0.086,0.672
114,16,YOR294W,154,0.006,0.096,0.766
115,16,YGL078C,148,0.009,0.091,0.736
116,16,YMR290C,158,0.007,0.099,0.786
117,16,YLR222C,149,0.007,0.095,0.741
118,16,YNL132W,144,0.004,0.094,0.716
119,16,YNL110C,157,0.006,0.097,0.781
120,16,YER006W,154,0.005,0.097,0.766
121,16,YDR496C,163,0.031,0.098,0.811
122,16,YDL060W,144,0.004,0.093,0.716
123,16,YKR081C,163,0.007,0.101,0.811
124,16,YMR049C,166,0.022,0.101,0.826
125,16,YJL033W,149,0.004,0.096,0.741
126,16,YPL043W,162,0.008,0.099,0.806
127,16,YDR398W,145,0.004,0.095,0.721
128,16,YLR129W,148,0.004,0.096,0.736
129,16,YHR052W,155,0.009,0.096,0.771
130,16,YPL217C,148,0.006,0.095,0.736
131,16,YAL025C,143,0.006,0.090,0.711
132,16,YKL078W,97,0.016,0.064,0.483
133,17,YDR005C,1,0.000,0.707,0.500
134,17,YKL126W,0,0.000,0.000,0.000
135,17,YHR205W,1,0.000,0.707,0.500
136,18,YOL142W,19,0.017,0.249,0.704
137,18,YOL021C,22,0.060,0.262,0.815
138,18,YNL232W,19,0.017,0.249,0.704
139,18,YLR398C,16,0.019,0.208,0.593
140,18,YJL050W,21,0.073,0.241,0.778
141,18,YOR001W,27,0.289,0.273,1.000
142,18,YHR069C,17,0.012,0.229,0.630
143,19,YPL207W,4,0.000,0.447,1.000
144,19,YGL050W,4,0.000,0.447,1.000
145,19,YOL141W,4,0.000,0.447,1.000
146,19,YML005W,4,0.000,0.447,1.000
147,19,YHR070W,4,0.000,0.447,1.000
148,20,YKL024C,6,0.045,0.312,0.500
149,20,YKL216W,6,0.013,0.344,0.500
150,20,YEL021W,12,0.604,0.494,1.000
151,20,YML106W,6,0.013,0.344,0.500
152,21,YER005W,0,0.000,1.000,1.000
153,22,YLR245C,3,0.083,0.470,0.750
154,22,YPR062W,4,0.333,0.559,1.000
155,22,YDR400W,3,0.083,0.470,0.750
156,23,YLR388W,151,0.001,0.084,0.938
157,23,YER074W,152,0.001,0.085,0.944
158,23,YBR079C,60,0.002,0.032,0.373
159,23,YLR075W,148,0.008,0.083,0.919
160,23,YNL178W,156,0.004,0.085,0.969
161,23,YDR418W,146,0.013,0.083,0.907
162,23,YBR181C,151,0.001,0.084,0.938
163,23,YGR118W,152,0.002,0.085,0.944
164,23,YCR031C,152,0.002,0.085,0.944
165,23,YDR064W,153,0.002,0.085,0.950
166,23,YBR031W,150,0.002,0.084,0.932
167,23,YMR146C,102,0.005,0.057,0.634
168,23,YGL123W,155,0.004,0.085,0.963
169,23,YER102W,154,0.002,0.085,0.957
170,23,YJR123W,155,0.008,0.085,0.963
171,23,YOR167C,151,0.001,0.084,0.938
172,23,YBR048W,152,0.002,0.085,0.944
173,23,YOR096W,151,0.002,0.084,0.938
174,23,YLR264W,151,0.001,0.084,0.938
175,23,YLR340W,151,0.003,0.084,0.938
176,23,YML026C,153,0.002,0.085,0.950
177,23,YMR309C,58,0.001,0.031,0.360
178,23,YKL180W,147,0.002,0.083,0.913
179,23,YML024W,153,0.002,0.085,0.950
180,23,YLR441C,154,0.002,0.085,0.957
181,23,YOL040C,155,0.002,0.085,0.963
182,23,YDR447C,152,0.002,0.085,0.944
183,23,YGR214W,152,0.002,0.085,0.944
184,23,YOR369C,152,0.002,0.085,0.944
185,23,YJR145C,153,0.002,0.085,0.950
186,23,YBL072C,153,0.002,0.085,0.950
187,23,YMR143W,152,0.002,0.085,0.944
188,23,YPL090C,152,0.002,0.085,0.944
189,23,YOR361C,68,0.002,0.037,0.422
190,23,YMR116C,156,0.004,0.086,0.969
191,23,YDR429C,85,0.003,0.047,0.528
192,23,YJL190C,154,0.002,0.085,0.957
193,23,YDL083C,152,0.002,0.085,0.944
194,23,YOR063W,151,0.004,0.084,0.938
195,23,YAL003W,136,0.002,0.078,0.845
196,23,YHL015W,155,0.002,0.085,0.963
197,24,YDR061W,2,1.000,0.707,1.000
198,25,YBR118W,1,0.000,0.707,1.000
199,25,YGR211W,1,0.000,0.707,1.000
200,26,YKL003C,75,0.009,0.137,0.915
201,26,YEL050C,70,0.006,0.131,0.854
202,26,YPL013C,75,0.010,0.137,0.915
203,26,YKL170W,66,0.012,0.126,0.805
204,26,YNR037C,71,0.007,0.132,0.866
205,26,YNL137C,69,0.007,0.129,0.841
206,26,YJL063C,71,0.006,0.132,0.866
207,26,YDR494W,31,0.024,0.058,0.378
208,26,YCR046C,70,0.007,0.130,0.854
209,26,YBL038W,70,0.007,0.131,0.854
210,26,YBR146W,74,0.008,0.136,0.902
211,26,YHL004W,66,0.007,0.122,0.805
212,26,YGL129C,73,0.008,0.135,0.890
213,26,YBR251W,75,0.033,0.136,0.915
214,26,YDR337W,74,0.008,0.136,0.902
215,26,YGR165W,65,0.006,0.122,0.793
216,26,YNL005C,70,0.006,0.130,0.854
217,26,YMR158W,72,0.008,0.133,0.878
218,26,YGR220C,71,0.016,0.132,0.866
219,26,YPR100W,65,0.028,0.124,0.793
220,26,YPL183W-A,68,0.007,0.128,0.829
221,27,YER025W,3,0.000,0.500,1.000
222,27,YPR041W,3,0.000,0.500,1.000
223,27,YJR007W,3,0.000,0.500,1.000
224,27,YPL237W,3,0.000,0.500,1.000
225,28,YLR167W,3,0.050,0.491,0.600
226,28,YLL039C,5,0.750,0.604,1.000
227,29,YJR064W,0,0.000,1.000,1.000
228,30,YPR080W,0,0.000,1.000,1.000
229,31,YJL111W,6,0.000,0.378,1.000
230,31,YDL143W,6,0.000,0.378,1.000
231,31,YJL014W,6,0.000,0.378,1.000
232,31,YJL008C,6,0.000,0.378,1.000
233,31,YIL142W,6,0.000,0.378,1.000
234,31,YDR188W,6,0.000,0.378,1.000
235,31,YDR212W,6,0.000,0.378,1.000
236,32,YLR038C,32,0.033,0.181,0.667
237,32,YBL045C,35,0.026,0.192,0.729
238,32,YLL041C,26,0.046,0.142,0.542
239,32,Q0105,37,0.050,0.195,0.771
240,32,Q0250,34,0.032,0.182,0.708
241,32,YPR191W,38,0.029,0.203,0.792
242,32,YJL045W,21,0.029,0.111,0.438
243,32,YJL166W,37,0.036,0.201,0.771
244,32,YOR065W,38,0.048,0.201,0.792
245,32,YKL148C,22,0.045,0.112,0.458
246,32,Q0275,31,0.021,0.172,0.646
247,32,YHR051W,35,0.047,0.183,0.729
248,32,YEL024W,37,0.023,0.201,0.771
249,33,YPL172C,5,0.500,0.558,0.833
250,33,YDR376W,3,0.333,0.380,0.500
251,34,YLR067C,0,0.000,1.000,1.000
252,35,YPL189C-A,1,0.000,0.114,0.200
253,35,YML129C,4,0.000,0.440,0.800
254,35,YLR203C,4,0.000,0.440,0.800
255,35,YGR112W,5,0.400,0.462,1.000
256,35,YIL157C,4,0.000,0.440,0.800
257,35,YJL062W-A,4,0.000,0.440,0.800
258,36,Q0115,3,0.167,0.557,1.000
259,36,Q0075,3,0.167,0.557,1.000
260,37,YBL099W,28,0.052,0.223,0.903
261,37,YJR121W,29,0.061,0.227,0.935
262,37,YDR298C,27,0.022,0.222,0.871
263,37,YDL004W,27,0.026,0.219,0.871
264,37,YPL271W,27,0.026,0.218,0.871
265,37,YLR295C,16,0.066,0.124,0.516
266,37,YKL016C,27,0.022,0.222,0.871
267,37,YPL078C,27,0.027,0.218,0.871
268,38,Q0055,1,0.000,0.707,1.000
269,38,Q0110,1,0.000,0.707,1.000
270,39,YLL018C-A,3,0.167,0.557,1.000
271,39,YLL009C,3,0.167,0.557,1.000
272,40,YDL069C,1,0.000,0.707,1.000
273,40,YDR197W,1,0.000,0.707,1.000
274,41,YPL215W,2,1.000,0.707,1.000
275,42,YGR062C,2,0.000,0.577,1.000
276,42,YDL107W,2,0.000,0.577,1.000
277,42,YOR266W,2,0.000,0.577,1.000
278,43,YEL059C-A,1,0.000,0.707,1.000
279,43,YDR231C,1,0.000,0.707,1.000
280,44,YDR296W,1,0.000,0.707,1.000
281,44,YKL011C,1,0.000,0.707,1.000
282,45,YNL206C,14,0.028,0.188,0.467
283,45,YBL008W,12,0.021,0.181,0.400
284,45,YML102W,14,0.027,0.198,0.467
285,45,YBR010W,28,0.234,0.331,0.933
286,45,YJL115W,21,0.090,0.282,0.700
287,45,YNL031C,26,0.167,0.318,0.867
288,45,YBR009C,23,0.082,0.308,0.767
