,cluster,protein,degree,degree_centrality,eigenvector_centrality,betweenness_centrality
0,0,Q0010,6,0.857,0.417,0.119
1,0,Q0297,6,0.857,0.403,0.286
2,0,Q0182,5,0.714,0.391,0.000
3,0,Q0032,5,0.714,0.391,0.000
4,0,Q0017,5,0.714,0.391,0.000
5,0,Q0143,6,0.857,0.417,0.119
6,1,YPL059W,11,1.000,0.303,0.009
7,1,YER048W-A,11,1.000,0.303,0.009
8,1,YKL040C,11,1.000,0.303,0.009
9,1,YPR067W,11,1.000,0.303,0.009
10,1,YCL017C,11,1.000,0.303,0.009
11,1,YPL252C,11,1.000,0.303,0.009
12,2,YMR301C,2,1.000,0.577,0.000
13,2,YGL018C,2,1.000,0.577,0.000
14,2,YDL120W,2,1.000,0.577,0.000
15,3,YNL328C,3,0.500,0.389,0.000
16,3,YFL016C,4,0.667,0.446,0.067
17,3,YJR045C,4,0.667,0.446,0.067
18,4,YAL046C,4,0.667,0.418,0.022
19,4,YAL044W-A,4,0.667,0.418,0.022
20,4,YDR098C,4,0.667,0.386,0.067
21,4,YER174C,4,0.667,0.386,0.067
22,5,YOR224C,31,0.508,0.173,0.013
23,5,YMR277W,21,0.344,0.106,0.010
24,5,YPL122C,30,0.492,0.174,0.004
25,5,YGR063C,28,0.459,0.131,0.016
26,5,YJL006C,21,0.344,0.089,0.012
27,5,YKR062W,30,0.492,0.173,0.006
28,5,YKL028W,30,0.492,0.173,0.006
29,5,YKL058W,26,0.426,0.157,0.002
30,5,YGR186W,28,0.459,0.167,0.003
31,5,YDR311W,20,0.328,0.105,0.003
32,5,YDL108W,28,0.459,0.139,0.020
33,5,YGR005C,28,0.459,0.168,0.003
34,5,YLR005W,20,0.328,0.103,0.002
35,5,YDR460W,31,0.508,0.172,0.008
36,5,YOR194C,24,0.393,0.150,0.001
37,5,YHR143W-A,30,0.492,0.171,0.012
38,6,YBL022C,0,1.000,1.000,0.000
39,7,YDR167W,14,0.359,0.101,0.009
40,7,YGL112C,13,0.333,0.093,0.000
41,7,YGR274C,15,0.385,0.096,0.034
42,7,YNL113W,15,0.385,0.205,0.004
43,7,YML015C,13,0.333,0.093,0.000
44,7,YKL144C,14,0.359,0.201,0.000
45,7,YMR227C,14,0.359,0.093,0.024
46,7,YMR005W,13,0.333,0.093,0.000
47,7,YGR047C,14,0.359,0.166,0.007
48,7,YJL011C,14,0.359,0.201,0.000
49,7,YPR110C,15,0.385,0.205,0.004
50,7,YDR145W,13,0.333,0.093,0.000
51,7,YML098W,13,0.333,0.093,0.000
52,7,YCR042C,13,0.333,0.093,0.000
53,7,YML114C,13,0.333,0.093,0.000
54,7,YNL151C,15,0.385,0.209,0.002
55,7,YPL011C,13,0.333,0.093,0.000
56,7,YKR025W,14,0.359,0.201,0.000
57,7,YNR003C,15,0.385,0.211,0.001
58,7,YMR236W,13,0.333,0.093,0.000
59,7,YBR198C,13,0.333,0.093,0.000
60,7,YBR123C,13,0.333,0.146,0.011
61,7,YDR045C,14,0.359,0.201,0.000
62,8,YGL127C,24,1.000,0.222,0.014
63,8,YER022W,21,0.875,0.205,0.002
64,8,YNL236W,24,1.000,0.222,0.014
65,8,YOL051W,22,0.917,0.210,0.007
66,8,YNR010W,21,0.875,0.205,0.002
67,8,YGR104C,22,0.917,0.211,0.005
68,8,YLR071C,24,1.000,0.222,0.014
69,8,YOL135C,24,1.000,0.222,0.014
70,8,YPR168W,23,0.958,0.217,0.009
71,8,YGL151W,23,0.958,0.213,0.012
72,8,YHR058C,23,0.958,0.217,0.009
73,8,YDL005C,24,1.000,0.222,0.014
74,8,YDR308C,24,1.000,0.222,0.014
75,8,YBL093C,24,1.000,0.222,0.014
76,9,YMR223W,14,0.875,0.252,0.000
77,9,YOL148C,14,0.875,0.252,0.000
78,9,YPL047W,14,0.875,0.252,0.000
79,9,YDR392W,14,0.875,0.252,0.000
80,9,YLR055C,14,0.875,0.252,0.000
81,9,YBR111W-A,14,0.875,0.252,0.000
82,9,YBR081C,14,0.875,0.252,0.000
83,9,YGL066W,14,0.875,0.252,0.000
84,9,YER164W,14,0.875,0.252,0.000
85,9,YPL254W,15,0.938,0.260,0.013
86,9,YHR099W,15,0.938,0.260,0.013
87,9,YDR448W,15,0.938,0.260,0.013
88,10,YJR090C,4,0.143,0.151,0.000
89,10,YLR128W,7,0.250,0.217,0.007
90,10,YML088W,3,0.107,0.082,0.071
91,10,YPR164W,3,0.107,0.077,0.000
92,10,YLR306W,8,0.286,0.270,0.005
93,10,YLR320W,3,0.107,0.077,0.000
94,10,YOL025W,3,0.107,0.098,0.000
95,10,YPL046C,4,0.143,0.128,0.019
96,10,YER066W,3,0.107,0.121,0.000
97,10,YPL003W,7,0.250,0.249,0.000
98,10,YDR054C,8,0.286,0.263,0.004
99,11,YHR111W,10,0.909,0.319,0.026
100,11,YLR384C,10,0.909,0.318,0.026
101,11,YIL008W,9,0.818,0.296,0.012
102,11,YGL211W,10,0.909,0.319,0.026
103,11,YMR312W,9,0.818,0.295,0.017
104,11,YPL101W,9,0.818,0.292,0.015
105,12,YDR168W,9,0.750,0.289,0.012
106,12,YDR214W,11,0.917,0.332,0.035
107,12,YOR027W,10,0.833,0.309,0.024
108,12,YLR216C,9,0.750,0.288,0.013
109,12,YNL281W,9,0.750,0.288,0.012
110,12,YKL117W,11,0.917,0.322,0.060
111,13,YOR064C,3,0.750,0.482,0.000
112,13,YPR031W,3,0.750,0.482,0.000
113,13,YLR455W,3,0.750,0.482,0.000
114,14,YML069W,3,1.000,0.557,0.167
115,14,YGL207W,3,1.000,0.557,0.167
116,15,YKL054C,1,0.500,0.500,0.000
117,15,YDR030C,1,0.500,0.500,0.000
118,16,YMR093W,135,0.672,0.090,0.003
119,16,YDR087C,126,0.627,0.082,0.003
120,16,YPR010C,121,0.602,0.082,0.005
121,16,YOL041C,121,0.602,0.079,0.002
122,16,YHR169W,128,0.637,0.085,0.002
123,16,YOR340C,111,0.552,0.079,0.001
124,16,YDR101C,120,0.597,0.076,0.005
125,16,YCL059C,137,0.682,0.090,0.003
126,16,YLR175W,126,0.627,0.084,0.003
127,16,YGR128C,110,0.547,0.074,0.001
128,16,YDR324C,135,0.672,0.090,0.003
129,16,YMR128W,119,0.592,0.080,0.002
130,16,YKL099C,108,0.537,0.072,0.002
131,16,YLR196W,126,0.627,0.085,0.003
132,16,YOR004W,135,0.672,0.088,0.003
133,16,YPL146C,113,0.562,0.075,0.002
134,16,YJL109C,127,0.632,0.084,0.003
135,16,YER127W,135,0.672,0.089,0.003
136,16,YHR066W,126,0.627,0.081,0.003
137,16,YMR131C,131,0.652,0.087,0.008
138,16,YJR002W,130,0.647,0.087,0.002
139,16,YDL014W,122,0.607,0.081,0.002
140,16,YNR038W,116,0.577,0.077,0.003
141,16,YKR060W,110,0.547,0.076,0.001
142,16,YHR088W,135,0.672,0.086,0.004
143,16,YHR148W,114,0.567,0.077,0.002
144,16,YDR060W,122,0.607,0.082,0.002
145,16,YDR365C,118,0.587,0.081,0.001
146,16,YDL153C,126,0.627,0.087,0.001
147,16,YGL111W,111,0.552,0.075,0.001
148,16,YJL010C,134,0.667,0.090,0.002
149,16,YDL208W,107,0.532,0.072,0.002
150,16,YDL031W,133,0.662,0.087,0.003
151,16,YGR090W,123,0.612,0.082,0.002
152,16,YPL126W,129,0.642,0.086,0.002
153,16,YPR112C,124,0.617,0.085,0.002
154,16,YGL120C,129,0.642,0.086,0.002
155,16,YOR145C,137,0.682,0.090,0.003
156,16,YPR143W,116,0.577,0.077,0.002
157,16,YPL266W,132,0.657,0.089,0.002
158,16,YER126C,127,0.632,0.082,0.003
159,16,YML093W,134,0.667,0.089,0.004
160,16,YIL091C,129,0.642,0.088,0.002
161,16,YBR142W,122,0.607,0.083,0.002
162,16,YFL002C,132,0.657,0.089,0.002
163,16,YLL011W,129,0.642,0.087,0.002
164,16,YNR053C,128,0.637,0.083,0.004
165,16,YKR024C,107,0.532,0.075,0.001
166,16,YOR287C,109,0.542,0.071,0.002
167,16,YHR065C,116,0.577,0.080,0.002
168,16,YJL069C,133,0.662,0.089,0.002
169,17,YDR005C,1,0.500,0.707,0.000
170,17,YHR205W,1,0.500,0.707,0.000
171,18,YDL111C,17,0.630,0.237,0.004
172,18,YLR398C,16,0.593,0.208,0.019
173,18,YGR095C,18,0.667,0.246,0.006
174,18,YDR280W,17,0.630,0.237,0.004
175,18,YGR158C,18,0.667,0.246,0.006
176,18,YOR076C,14,0.519,0.199,0.002
177,18,YHR069C,17,0.630,0.229,0.012
178,18,YCR035C,16,0.593,0.226,0.002
179,18,YGR195W,18,0.667,0.246,0.006
180,19,YPL207W,4,1.000,0.447,0.000
181,19,YGL050W,4,1.000,0.447,0.000
182,19,YOL141W,4,1.000,0.447,0.000
183,19,YML005W,4,1.000,0.447,0.000
