,cluster,protein,degree,degree_centrality,eigenvector_centrality,betweenness_centrality
0,0,Q0010,6,0.857,0.417,0.119
1,0,Q0297,6,0.857,0.403,0.286
2,0,Q0143,6,0.857,0.417,0.119
3,1,YPL059W,11,1.000,0.303,0.009
4,1,YER048W-A,11,1.000,0.303,0.009
5,1,YKL040C,11,1.000,0.303,0.009
6,1,YPR067W,11,1.000,0.303,0.009
7,1,YCL017C,11,1.000,0.303,0.009
8,1,YPL252C,11,1.000,0.303,0.009
9,2,YMR301C,2,1.000,0.577,0.000
10,2,YGL018C,2,1.000,0.577,0.000
11,2,YDL120W,2,1.000,0.577,0.000
12,3,YOR232W,6,1.000,0.535,0.533
13,3,YFL016C,4,0.667,0.446,0.067
14,3,YJR045C,4,0.667,0.446,0.067
15,4,YAL046C,4,0.667,0.418,0.022
16,4,YAL044W-A,4,0.667,0.418,0.022
17,4,YDR098C,4,0.667,0.386,0.067
18,4,YER174C,4,0.667,0.386,0.067
19,4,YGL220W,6,1.000,0.506,0.356
20,5,YBR154C,36,0.590,0.183,0.034
21,5,YDR079C-A,33,0.541,0.179,0.017
22,5,YGL070C,32,0.525,0.180,0.008
23,5,YPR187W,35,0.574,0.186,0.021
24,5,YOR210W,35,0.574,0.182,0.027
25,5,YML010W,36,0.590,0.144,0.085
26,5,YOR151C,40,0.656,0.197,0.040
27,5,YIL021W,41,0.672,0.200,0.047
28,5,YOL005C,33,0.541,0.184,0.009
29,5,YIL143C,32,0.525,0.178,0.009
30,5,YDL140C,54,0.885,0.220,0.191
31,5,YJL140W,34,0.557,0.187,0.012
32,5,YGL043W,37,0.607,0.181,0.037
33,5,YDR404C,35,0.574,0.189,0.013
34,5,YER171W,32,0.525,0.178,0.009
35,5,YPR086W,34,0.557,0.188,0.015
36,6,YBL022C,0,1.000,1.000,0.000
37,7,YER148W,38,0.974,0.333,0.543
38,7,YGR274C,15,0.385,0.096,0.034
39,7,YNL113W,15,0.385,0.205,0.004
40,7,YPR190C,16,0.410,0.220,0.003
41,7,YOR207C,16,0.410,0.219,0.003
42,7,YOR116C,18,0.462,0.234,0.008
43,7,YGR246C,23,0.590,0.258,0.045
44,7,YPR110C,15,0.385,0.205,0.004
45,7,YNL151C,15,0.385,0.209,0.002
46,7,YDL150W,16,0.410,0.220,0.003
47,7,YNR003C,15,0.385,0.211,0.001
48,7,YNL039W,21,0.538,0.251,0.022
49,8,YGL127C,24,1.000,0.222,0.014
50,8,YNL236W,24,1.000,0.222,0.014
51,8,YLR071C,24,1.000,0.222,0.014
52,8,YOL135C,24,1.000,0.222,0.014
53,8,YDL005C,24,1.000,0.222,0.014
54,8,YDR308C,24,1.000,0.222,0.014
55,8,YBL093C,24,1.000,0.222,0.014
56,9,YGR252W,16,1.000,0.264,0.044
57,9,YPL254W,15,0.938,0.260,0.013
58,9,YHR099W,15,0.938,0.260,0.013
59,9,YCL010C,16,1.000,0.264,0.044
60,9,YDR448W,15,0.938,0.260,0.013
61,9,YDR176W,16,1.000,0.264,0.044
62,10,YDL132W,15,0.536,0.346,0.139
63,10,YJL047C,9,0.321,0.252,0.051
64,10,YOL133W,15,0.536,0.358,0.158
65,10,YLR306W,8,0.286,0.270,0.005
66,10,YPR066W,9,0.321,0.296,0.006
67,10,YDR139C,10,0.357,0.306,0.028
68,10,YDR328C,22,0.786,0.376,0.595
69,10,YDR054C,8,0.286,0.263,0.004
70,11,YHR111W,10,0.909,0.319,0.026
71,11,YLR384C,10,0.909,0.318,0.026
72,11,YGL211W,10,0.909,0.319,0.026
73,11,YPL086C,11,1.000,0.338,0.049
74,11,YGR200C,11,1.000,0.338,0.049
75,12,YPL240C,12,1.000,0.342,0.083
76,12,YDR214W,11,0.917,0.332,0.035
77,12,YMR186W,12,1.000,0.342,0.083
78,12,YKL117W,11,0.917,0.322,0.060
79,13,YOR064C,3,0.750,0.482,0.000
80,13,YPR031W,3,0.750,0.482,0.000
81,13,YPL129W,4,1.000,0.524,0.500
82,13,YLR455W,3,0.750,0.482,0.000
83,14,YML069W,3,1.000,0.557,0.167
84,14,YGL207W,3,1.000,0.557,0.167
85,15,YJR035W,2,1.000,0.707,1.000
86,16,YLR009W,145,0.721,0.092,0.010
87,16,YPR144C,138,0.687,0.091,0.003
88,16,YGR145W,152,0.756,0.097,0.004
89,16,YPL012W,143,0.711,0.093,0.004
90,16,YOR310C,144,0.716,0.093,0.005
91,16,YGR103W,172,0.856,0.103,0.013
92,16,YOR272W,164,0.816,0.101,0.008
93,16,YGL171W,140,0.697,0.094,0.002
94,16,YDR299W,143,0.711,0.093,0.006
95,16,YPL211W,139,0.692,0.088,0.007
96,16,YPL093W,146,0.726,0.093,0.006
97,16,YLL008W,152,0.756,0.095,0.011
98,16,YHR170W,141,0.701,0.091,0.009
99,16,YKL172W,154,0.766,0.096,0.006
100,16,YNL075W,145,0.721,0.094,0.004
101,16,YLR276C,142,0.706,0.092,0.005
102,16,YLR197W,144,0.716,0.093,0.005
103,16,YCR057C,153,0.761,0.097,0.015
104,16,YGR245C,146,0.726,0.094,0.007
105,16,YOL077C,155,0.771,0.095,0.017
106,16,YKL009W,148,0.736,0.094,0.007
107,16,YPR137W,148,0.736,0.095,0.007
108,16,YCL054W,161,0.801,0.099,0.009
109,16,YNL061W,153,0.761,0.096,0.006
110,16,YBR247C,152,0.756,0.097,0.005
111,16,YOR206W,159,0.791,0.099,0.007
112,16,YLR409C,143,0.711,0.092,0.004
113,16,YDR449C,145,0.721,0.096,0.003
114,16,YOR294W,154,0.766,0.096,0.006
115,16,YGL078C,148,0.736,0.091,0.009
116,16,YMR290C,158,0.786,0.099,0.007
117,16,YLR222C,149,0.741,0.095,0.007
118,16,YMR229C,143,0.711,0.093,0.004
119,16,YNL132W,144,0.716,0.094,0.004
120,16,YNL110C,157,0.781,0.097,0.006
121,16,YER006W,154,0.766,0.097,0.005
122,16,YDR496C,163,0.811,0.098,0.031
123,16,YDL060W,144,0.716,0.093,0.004
124,16,YKR081C,163,0.811,0.101,0.007
125,16,YMR049C,166,0.826,0.101,0.022
126,16,YJL033W,149,0.741,0.096,0.004
127,16,YPL043W,162,0.806,0.099,0.008
128,16,YDL148C,147,0.731,0.096,0.004
129,16,YNL308C,142,0.706,0.093,0.003
130,16,YDR398W,145,0.721,0.095,0.004
131,16,YLR129W,148,0.736,0.096,0.004
132,16,YLR002C,138,0.687,0.089,0.003
133,16,YER082C,141,0.701,0.093,0.003
134,16,YHR052W,155,0.771,0.096,0.009
135,16,YPL217C,148,0.736,0.095,0.006
136,16,YAL025C,143,0.711,0.090,0.006
137,17,YDR005C,1,0.500,0.707,0.000
138,17,YHR205W,1,0.500,0.707,0.000
139,18,YOL142W,19,0.704,0.249,0.017
140,18,YOL021C,22,0.815,0.262,0.060
141,18,YNL232W,19,0.704,0.249,0.017
142,18,YGR095C,18,0.667,0.246,0.006
143,18,YJL050W,21,0.778,0.241,0.073
144,18,YGR158C,18,0.667,0.246,0.006
145,18,YOR001W,27,1.000,0.273,0.289
146,18,YGR195W,18,0.667,0.246,0.006
147,19,YPL207W,4,1.000,0.447,0.000
148,19,YGL050W,4,1.000,0.447,0.000
149,19,YOL141W,4,1.000,0.447,0.000
150,19,YML005W,4,1.000,0.447,0.000
151,19,YHR070W,4,1.000,0.447,0.000
152,20,YKL024C,6,0.500,0.312,0.045
153,20,YKL216W,6,0.500,0.344,0.013
154,20,YEL021W,12,1.000,0.494,0.604
155,20,YML106W,6,0.500,0.344,0.013
156,21,YER005W,0,1.000,1.000,0.000
157,22,YLR245C,3,0.750,0.470,0.083
158,22,YPR062W,4,1.000,0.559,0.333
159,22,YDR400W,3,0.750,0.470,0.083
160,23,YGL189C,151,0.938,0.085,0.001
161,23,YLR388W,151,0.938,0.084,0.001
162,23,YML063W,150,0.932,0.084,0.001
163,23,YHR203C,150,0.932,0.084,0.001
164,23,YER074W,152,0.944,0.085,0.001
165,23,YPL131W,151,0.938,0.085,0.001
166,23,YNL178W,156,0.969,0.085,0.004
167,23,YER131W,150,0.932,0.084,0.001
168,23,YGR027C,151,0.938,0.085,0.001
169,23,YBR181C,151,0.938,0.084,0.001
170,23,YPL081W,150,0.932,0.084,0.001
171,23,YDR450W,150,0.932,0.084,0.001
172,23,YGR118W,152,0.944,0.085,0.002
173,23,YCR031C,152,0.944,0.085,0.002
174,23,YDR064W,153,0.950,0.085,0.002
175,23,YBR031W,150,0.932,0.084,0.002
176,23,YGL123W,155,0.963,0.085,0.004
177,23,YER102W,154,0.957,0.085,0.002
178,23,YJR123W,155,0.963,0.085,0.008
179,23,YOR167C,151,0.938,0.084,0.001
180,23,YBR048W,152,0.944,0.085,0.002
181,23,YOR096W,151,0.938,0.084,0.002
182,23,YLR264W,151,0.938,0.084,0.001
183,23,YLR340W,151,0.938,0.084,0.003
