,cluster,protein,degree,eigenvector_centrality,betweenness_centrality,degree_centrality
0,0,Q0297,6,0.403,0.286,0.857
1,0,Q0182,5,0.391,0.000,0.714
2,0,Q0032,5,0.391,0.000,0.714
3,0,Q0017,5,0.391,0.000,0.714
4,1,YPL059W,11,0.303,0.009,1.000
5,1,YER048W-A,11,0.303,0.009,1.000
6,1,YKL040C,11,0.303,0.009,1.000
7,1,YPR067W,11,0.303,0.009,1.000
8,1,YCL017C,11,0.303,0.009,1.000
9,1,YPL252C,11,0.303,0.009,1.000
10,2,YMR301C,2,0.577,0.000,1.000
11,2,YGL018C,2,0.577,0.000,1.000
12,2,YDL120W,2,0.577,0.000,1.000
13,3,YNL328C,3,0.389,0.000,0.500
14,3,YFL016C,4,0.446,0.067,0.667
15,3,YJR045C,4,0.446,0.067,0.667
16,4,YAL046C,4,0.418,0.022,0.667
17,4,YAL044W-A,4,0.418,0.022,0.667
18,4,YDR098C,4,0.386,0.067,0.667
19,5,YOR224C,31,0.173,0.013,0.508
20,5,YMR277W,21,0.106,0.010,0.344
21,5,YGR063C,28,0.131,0.016,0.459
22,5,YML010W,36,0.144,0.085,0.590
23,5,YKR062W,30,0.173,0.006,0.492
24,5,YKL028W,30,0.173,0.006,0.492
25,5,YKL058W,26,0.157,0.002,0.426
26,5,YGR186W,28,0.167,0.003,0.459
27,5,YDR311W,20,0.105,0.003,0.328
28,5,YDL108W,28,0.139,0.020,0.459
29,5,YGR005C,28,0.168,0.003,0.459
30,5,YLR005W,20,0.103,0.002,0.328
31,5,YDR460W,31,0.172,0.008,0.508
32,5,YOR194C,24,0.150,0.001,0.393
33,5,YHR143W-A,30,0.171,0.012,0.492
34,6,YBL022C,0,1.000,0.000,1.000
35,7,YDR167W,14,0.101,0.009,0.359
36,7,YNL113W,15,0.205,0.004,0.385
37,7,YKL144C,14,0.201,0.000,0.359
38,7,YAL001C,9,0.100,0.001,0.231
39,7,YGR047C,14,0.166,0.007,0.359
40,7,YJL011C,14,0.201,0.000,0.359
41,7,YPR110C,15,0.205,0.004,0.385
42,7,YDR362C,11,0.134,0.003,0.282
43,7,YKR025W,14,0.201,0.000,0.359
44,7,YBR123C,13,0.146,0.011,0.333
45,7,YDR045C,14,0.201,0.000,0.359
46,8,YER022W,21,0.205,0.002,0.875
47,8,YOL051W,22,0.210,0.007,0.917
48,8,YNR010W,21,0.205,0.002,0.875
49,8,YGR104C,22,0.211,0.005,0.917
50,8,YPR168W,23,0.217,0.009,0.958
51,8,YGL151W,23,0.213,0.012,0.958
52,8,YHR058C,23,0.217,0.009,0.958
53,8,YBL093C,24,0.222,0.014,1.000
54,9,YMR223W,14,0.252,0.000,0.875
