,cluster,protein,degree,eigenvector_centrality,betweenness_centrality,degree_centrality
0,0,Q0010,6,0.417,0.119,0.857
1,0,Q0143,6,0.417,0.119,0.857
2,1,YPL059W,11,0.303,0.009,1.000
3,1,YER048W-A,11,0.303,0.009,1.000
4,1,YKL040C,11,0.303,0.009,1.000
5,1,YPR067W,11,0.303,0.009,1.000
6,1,YCL017C,11,0.303,0.009,1.000
7,1,YPL252C,11,0.303,0.009,1.000
8,2,YMR301C,2,0.577,0.000,1.000
9,2,YGL018C,2,0.577,0.000,1.000
10,2,YDL120W,2,0.577,0.000,1.000
11,3,YOR232W,6,0.535,0.533,1.000
12,3,YFL016C,4,0.446,0.067,0.667
13,3,YJR045C,4,0.446,0.067,0.667
14,4,YAL046C,4,0.418,0.022,0.667
15,4,YAL044W-A,4,0.418,0.022,0.667
16,4,YGL220W,6,0.506,0.356,1.000
17,5,YBR154C,36,0.183,0.034,0.590
18,5,YDR079C-A,33,0.179,0.017,0.541
19,5,YGL070C,32,0.180,0.008,0.525
20,5,YPR187W,35,0.186,0.021,0.574
21,5,YPL122C,30,0.174,0.004,0.492
22,5,YOR210W,35,0.182,0.027,0.574
23,5,YOR151C,40,0.197,0.040,0.656
24,5,YIL021W,41,0.200,0.047,0.672
25,5,YOL005C,33,0.184,0.009,0.541
26,5,YIL143C,32,0.178,0.009,0.525
27,5,YDL140C,54,0.220,0.191,0.885
28,5,YJL140W,34,0.187,0.012,0.557
29,5,YGL043W,37,0.181,0.037,0.607
30,5,YDR404C,35,0.189,0.013,0.574
31,5,YER171W,32,0.178,0.009,0.525
32,5,YPR086W,34,0.188,0.015,0.557
33,6,YBL022C,0,1.000,0.000,1.000
34,7,YER148W,38,0.333,0.543,0.974
35,7,YNL113W,15,0.205,0.004,0.385
36,7,YPR190C,16,0.220,0.003,0.410
37,7,YOR207C,16,0.219,0.003,0.410
38,7,YOR116C,18,0.234,0.008,0.462
39,7,YGR246C,23,0.258,0.045,0.590
40,7,YPR110C,15,0.205,0.004,0.385
41,7,YNL151C,15,0.209,0.002,0.385
42,7,YDL150W,16,0.220,0.003,0.410
43,7,YNR003C,15,0.211,0.001,0.385
44,7,YNL039W,21,0.251,0.022,0.538
45,8,YGL127C,24,0.222,0.014,1.000
46,8,YNL236W,24,0.222,0.014,1.000
47,8,YLR071C,24,0.222,0.014,1.000
48,8,YOL135C,24,0.222,0.014,1.000
49,8,YDL005C,24,0.222,0.014,1.000
50,8,YDR308C,24,0.222,0.014,1.000
51,8,YBL093C,24,0.222,0.014,1.000
52,9,YGR252W,16,0.264,0.044,1.000
53,9,YPL254W,15,0.260,0.013,0.938
54,9,YHR099W,15,0.260,0.013,0.938
55,9,YCL010C,16,0.264,0.044,1.000
56,9,YDR448W,15,0.260,0.013,0.938
57,9,YDR176W,16,0.264,0.044,1.000
58,10,YDL132W,15,0.346,0.139,0.536
59,10,YJL047C,9,0.252,0.051,0.321
60,10,YOL133W,15,0.358,0.158,0.536
61,10,YLR306W,8,0.270,0.005,0.286
62,10,YPR066W,9,0.296,0.006,0.321
63,10,YDR139C,10,0.306,0.028,0.357
64,10,YDR328C,22,0.376,0.595,0.786
65,10,YDR054C,8,0.263,0.004,0.286
66,11,YHR111W,10,0.319,0.026,0.909
67,11,YGL211W,10,0.319,0.026,0.909
68,11,YPL086C,11,0.338,0.049,1.000
69,11,YGR200C,11,0.338,0.049,1.000
70,12,YPL240C,12,0.342,0.083,1.000
71,12,YDR214W,11,0.332,0.035,0.917
72,12,YMR186W,12,0.342,0.083,1.000
73,12,YKL117W,11,0.322,0.060,0.917
74,13,YPL129W,4,0.524,0.500,1.000
75,13,YLR455W,3,0.482,0.000,0.750
76,14,YML069W,3,0.557,0.167,1.000
77,14,YGL207W,3,0.557,0.167,1.000
78,15,YJR035W,2,0.707,1.000,1.000
79,16,YMR093W,135,0.090,0.003,0.672
80,16,YLR009W,145,0.092,0.010,0.721
81,16,YPR144C,138,0.091,0.003,0.687
82,16,YGR145W,152,0.097,0.004,0.756
83,16,YPL012W,143,0.093,0.004,0.711
84,16,YOR310C,144,0.093,0.005,0.716
85,16,YGR103W,172,0.103,0.013,0.856
86,16,YOR272W,164,0.101,0.008,0.816
87,16,YGL171W,140,0.094,0.002,0.697
88,16,YDR299W,143,0.093,0.006,0.711
89,16,YPL093W,146,0.093,0.006,0.726
90,16,YLL008W,152,0.095,0.011,0.756
91,16,YHR170W,141,0.091,0.009,0.701
92,16,YKL172W,154,0.096,0.006,0.766
93,16,YNL075W,145,0.094,0.004,0.721
94,16,YLR276C,142,0.092,0.005,0.706
95,16,YLR197W,144,0.093,0.005,0.716
96,16,YCR057C,153,0.097,0.015,0.761
97,16,YGR245C,146,0.094,0.007,0.726
98,16,YOL077C,155,0.095,0.017,0.771
99,16,YKL009W,148,0.094,0.007,0.736
100,16,YPR137W,148,0.095,0.007,0.736
101,16,YCL054W,161,0.099,0.009,0.801
102,16,YNL061W,153,0.096,0.006,0.761
103,16,YBR247C,152,0.097,0.005,0.756
104,16,YOR206W,159,0.099,0.007,0.791
105,16,YLR409C,143,0.092,0.004,0.711
106,16,YDR449C,145,0.096,0.003,0.721
107,16,YOR294W,154,0.096,0.006,0.766
108,16,YGL078C,148,0.091,0.009,0.736
109,16,YMR290C,158,0.099,0.007,0.786
110,16,YLR222C,149,0.095,0.007,0.741
111,16,YMR229C,143,0.093,0.004,0.711
112,16,YNL132W,144,0.094,0.004,0.716
113,16,YNL110C,157,0.097,0.006,0.781
114,16,YJL010C,134,0.090,0.002,0.667
115,16,YER006W,154,0.097,0.005,0.766
116,16,YDR496C,163,0.098,0.031,0.811
117,16,YDL060W,144,0.093,0.004,0.716
118,16,YKR081C,163,0.101,0.007,0.811
119,16,YMR049C,166,0.101,0.022,0.826
120,16,YJL033W,149,0.096,0.004,0.741
121,16,YPL043W,162,0.099,0.008,0.806
122,16,YDL148C,147,0.096,0.004,0.731
123,16,YNL308C,142,0.093,0.003,0.706
124,16,YDR398W,145,0.095,0.004,0.721
125,16,YLR129W,148,0.096,0.004,0.736
126,16,YER082C,141,0.093,0.003,0.701
127,16,YHR052W,155,0.096,0.009,0.771
128,16,YPL217C,148,0.095,0.006,0.736
129,16,YAL025C,143,0.090,0.006,0.711
130,17,YDR005C,1,0.707,0.000,0.500
131,17,YHR205W,1,0.707,0.000,0.500
132,18,YOL142W,19,0.249,0.017,0.704
133,18,YOL021C,22,0.262,0.060,0.815
134,18,YNL232W,19,0.249,0.017,0.704
135,18,YGR095C,18,0.246,0.006,0.667
136,18,YGR158C,18,0.246,0.006,0.667
137,18,YOR001W,27,0.273,0.289,1.000
138,18,YGR195W,18,0.246,0.006,0.667
139,19,YPL207W,4,0.447,0.000,1.000
140,19,YGL050W,4,0.447,0.000,1.000
141,19,YOL141W,4,0.447,0.000,1.000
142,19,YML005W,4,0.447,0.000,1.000
