,cluster,protein
0,0,Q0182
1,0,Q0017
2,0,Q0092
3,0,Q0297
4,0,Q0010
5,0,Q0143
6,0,Q0032
7,0,Q0142
8,1,YOR196C
9,1,YER048W-A
10,1,YOR226C
11,1,YJR122W
12,1,YPL252C
13,1,YPR067W
14,1,YLR369W
15,1,YPL059W
16,1,YPL135W
17,1,YKL040C
18,1,YCL017C
19,1,YLL027W
20,2,YMR301C
21,2,YDL120W
22,2,YGL018C
23,3,YHR024C
24,3,YFL016C
25,3,YNL310C
26,3,YNL328C
27,3,YOR232W
28,4,YLL029W
29,4,YGL220W
30,4,YAL046C
31,4,YDR098C
32,4,YAL044W-A
33,4,YPL202C
34,4,YER174C
35,5,YGR063C
36,5,YOR151C
37,5,YKR062W
38,5,YMR039C
39,5,YBR279W
40,5,YPR133C
41,5,YIL143C
42,5,YLR226W
43,5,YKL160W
44,5,YLR243W
45,5,YML112W
46,5,YGL130W
47,5,YDL115C
48,5,YPR056W
49,5,YJR072C
50,5,YPR187W
51,5,YOR194C
52,5,YOR352W
53,5,YDR079C-A
54,5,YER139C
55,5,YBR236C
56,5,YJL006C
57,5,YGL043W
58,5,YDL140C
59,5,YLR418C
60,5,YJR017C
61,5,YDR311W
62,5,YMR277W
63,5,YDR460W
64,5,YPL228W
65,5,YGR116W
66,5,YGL070C
67,5,YGL244W
68,5,YER171W
69,5,YIL021W
70,5,YOR123C
71,5,YOL005C
72,5,YGR005C
73,5,YLR005W
74,5,YML010W
75,5,YPL122C
76,5,YJL140W
77,5,YKL058W
78,5,YPR086W
79,5,YDR289C
80,5,YDR404C
81,5,YNL222W
82,5,YDL108W
83,5,YKL028W
84,5,YPR161C
85,5,YKL005C
86,5,YKL139W
87,5,YPR025C
88,5,YGR186W
89,6,YBL022C
90,7,YOR210W
91,7,YKL125W
92,7,YJL148W
93,7,YJR063W
94,7,YHR143W-A
95,7,YDR156W
96,7,YBR154C
97,7,YOR224C
98,7,YPR110C
99,8,YDR397C
100,8,YNL039W
101,8,YNL151C
102,8,YJL011C
103,8,YML098W
104,8,YDR145W
105,8,YKR025W
106,8,YER159C
107,8,YPR190C
108,8,YBR123C
109,8,YDR167W
110,8,YPL011C
111,8,YML114C
112,8,YDL070W
113,8,YCR042C
114,8,YKL144C
115,8,YDR045C
116,8,YER148W
117,8,YGR246C
118,8,YNL113W
119,8,YDR362C
120,8,YDL150W
121,8,YAL001C
122,8,YNR003C
123,8,YMR227C
124,8,YBR198C
125,8,YMR236W
126,8,YOR110W
127,8,YPL007C
128,8,YOR207C
129,8,YOR116C
130,8,YGL112C
131,8,YPL082C
132,8,YML015C
133,8,YGR047C
134,8,YGR274C
135,8,YPR186C
136,8,YMR005W
137,9,YLR071C
138,9,YOL051W
139,9,YOL135C
140,9,YDR308C
141,9,YHR058C
142,9,YBL093C
143,9,YOR174W
144,9,YPL042C
145,9,YGL151W
146,9,YPR168W
147,9,YPR070W
148,9,YBR193C
149,9,YNL236W
150,9,YGL127C
151,9,YER022W
152,9,YNL025C
153,9,YCR081W
154,9,YMR112C
155,9,YHR041C
156,9,YDL005C
157,9,YDR443C
158,9,YNR010W
159,9,YBR253W
160,9,YGL025C
161,9,YGR104C
162,10,YPL254W
163,10,YOL148C
164,10,YOR023C
165,10,YDR448W
166,10,YPL047W
167,10,YLR055C
168,10,YBR111W-A
169,10,YHR099W
170,10,YBR081C
171,10,YGL066W
172,10,YMR223W
173,10,YDR176W
174,10,YDR392W
175,10,YER164W
176,10,YCL010C
177,10,YCR082W
178,10,YGR252W
179,11,YJR033C
180,11,YPL003W
181,11,YDR054C
182,11,YJR090C
183,11,YOL133W
184,11,YLR306W
185,11,YLR320W
186,11,YDR202C
187,11,YLR352W
188,11,YOL025W
189,11,YLR128W
190,11,YDR139C
191,11,YDL132W
192,11,YMR258C
193,11,YPR066W
194,11,YJL047C
195,11,YOR080W
196,11,YER066W
197,11,YNL230C
198,11,YER143W
199,11,YLR368W
200,11,YNL311C
201,11,YPL046C
202,11,YDR328C
203,11,YJL149W
204,11,YPR164W
205,11,YML088W
206,11,YMR094W
207,11,YMR168C
208,12,YHR111W
209,12,YIL008W
210,12,YMR312W
211,12,YPL086C
212,12,YLR384C
213,12,YHR187W
214,12,YML014W
215,12,YNL119W
216,12,YKL110C
217,12,YGR200C
218,12,YPL101W
219,12,YGL211W
220,13,YMR186W
221,13,YGR123C
222,13,YOR298C-A
223,13,YBR155W
224,13,YJR032W
225,13,YDR168W
226,13,YDR214W
227,13,YLR216C
228,13,YOR057W
229,13,YPL240C
230,13,YNL281W
231,13,YKL117W
232,13,YOR027W
233,14,YLR455W
234,14,YPR031W
235,14,YPL129W
236,14,YOR064C
237,14,YKL017C
238,15,YPR052C
239,15,YBR089C-A
240,15,YML069W
241,15,YGL207W
242,16,YFR016C
243,16,YOL145C
244,17,YJR035W
245,17,YDR030C
246,17,YKL054C
247,18,YNL248C
248,18,YIL019W
249,18,YDR365C
250,18,YIL091C
251,18,YGL120C
252,18,YGL171W
253,18,YDR412W
254,18,YLR222C
255,18,YOL010W
256,18,YOR145C
257,18,YGL111W
258,18,YBR142W
259,18,YKL172W
260,18,YMR014W
261,18,YLR409C
262,18,YJL069C
263,18,YDR299W
264,18,YMR239C
265,18,YIR012W
266,18,YJR091C
267,18,YJL010C
268,18,YLR129W
269,18,YPR137W
270,18,YHR065C
271,18,YOR272W
272,18,YOL080C
273,18,YHR197W
274,18,YGR251W
275,18,YLL008W
276,18,YKL099C
277,18,YBL004W
278,18,YOR046C
279,18,YHR085W
280,18,YNL132W
281,18,YDL063C
282,18,YER127W
283,18,YOR119C
284,18,YLR175W
285,18,YDL167C
286,18,YLR196W
287,18,YNR038W
288,18,YNL124W
289,18,YIL127C
290,18,YMR290C
291,18,YPL126W
292,18,YHR052W
293,18,YDR361C
294,18,YCR057C
295,18,YMR093W
296,18,YPL263C
297,18,YCL031C
298,18,YFR001W
299,18,YMR128W
300,18,YER082C
301,18,YLR401C
302,18,YNL075W
303,18,YDR339C
304,18,YPL012W
305,18,YER036C
306,18,YLL011W
307,18,YDR161W
308,18,YNL227C
309,18,YDL060W
310,18,YKL014C
311,18,YNL112W
312,18,YOR287C
313,18,YGL029W
314,18,YBR034C
315,18,YER006W
316,18,YDR324C
317,18,YFL002C
318,18,YDR496C
319,18,YDL148C
320,18,YLR009W
321,18,YNR053C
322,18,YOL041C
323,18,YIL035C
324,18,YHR148W
325,18,YDL213C
326,18,YKL143W
327,18,YNL062C
328,18,YDR083W
329,18,YPL211W
330,18,YER126C
331,18,YNR054C
332,18,YMR229C
333,18,YPL146C
334,18,YDR312W
335,18,YPL266W
336,18,YPL239W
337,18,YPL226W
338,18,YNL308C
339,18,YJL033W
340,18,YDR087C
341,18,YJR002W
342,18,YMR049C
343,18,YOR206W
344,18,YCR087C-A
345,18,YDR449C
346,18,YKR060W
347,18,YNL110C
348,18,YGR128C
349,18,YOR056C
350,18,YGL014W
351,18,YLR276C
352,18,YDR398W
353,18,YGR245C
354,18,YOR294W
355,18,YPL043W
356,18,YHR169W
357,18,YKR024C
358,18,YHR170W
359,18,YGR081C
360,18,YHR066W
361,18,YGL019W
362,18,YNL207W
363,18,YOR039W
364,18,YNL182C
365,18,YDL051W
366,18,YGR090W
367,18,YOR061W
368,18,YAL025C
369,18,YOR310C
370,18,YGR271C-A
371,18,YHR088W
372,18,YLR003C
373,18,YER156C
374,18,YDL153C
375,18,YML074C
376,18,YBR247C
377,18,YGR280C
378,18,YHR089C
379,18,YAL059W
380,18,YOR340C
381,18,YBR267W
382,18,YLL034C
383,18,YBL028C
384,18,YPL217C
385,18,YLR106C
386,18,YKR081C
387,18,YKL009W
388,18,YLR435W
389,18,YLR186W
390,18,YOR078W
391,18,YNL175C
392,18,YGR103W
393,18,YER002W
394,18,YOL144W
395,18,YJL122W
396,18,YHR196W
397,18,YLR336C
398,18,YNL163C
399,18,YPR010C
400,18,YLR022C
401,18,YDL014W
402,18,YGR145W
403,18,YIR026C
404,18,YGL099W
405,18,YOR004W
406,18,YKL021C
407,18,YLR197W
408,18,YEL055C
409,18,YLR221C
410,18,YDR174W
411,18,YKR056W
412,18,YDR101C
413,18,YGR187C
414,18,YNL224C
415,18,YMR131C
416,18,YKL082C
417,18,YLR074C
418,18,YDR194C
419,18,YMR269W
420,18,YJL109C
421,18,YCL054W
422,18,YPR112C
423,18,YGL078C
424,18,YNL061W
425,18,YCL059C
426,18,YOL077C
427,18,YML093W
428,18,YLR449W
429,18,YJR041C
430,18,YBR192W
431,18,YKR092C
432,18,YDR184C
433,18,YPL093W
434,18,YNL035C
435,18,YOR309C
436,18,YLR051C
437,18,YGR159C
438,18,YDL031W
439,18,YOR341W
440,18,YPR143W
441,18,YPR144C
442,18,YCR072C
443,18,YDL208W
444,18,YDR060W
445,18,YLR002C
446,19,YKL126W
447,19,YHR205W
448,19,YDR005C
449,20,YGL213C
450,20,YGR095C
451,20,YNR024W
452,20,YGR158C
453,20,YNL251C
454,20,YHR069C
455,20,YOL021C
456,20,YLR430W
457,20,YGR195W
458,20,YMR287C
459,20,YPR189W
460,20,YDR374C
461,20,YNL299W
462,20,YDR280W
463,20,YDR293C
464,20,YPL190C
465,20,YDL111C
466,20,YCR035C
467,20,YIL079C
468,20,YNL232W
469,20,YDL175C
470,20,YOR076C
471,20,YJL050W
472,20,YOR001W
473,20,YOL115W
474,20,YOL142W
475,20,YHR081W
476,20,YLR398C
477,21,YGL050W
478,21,YPL207W
479,21,YOL141W
480,21,YML005W
481,21,YHR070W
482,22,YMR271C
483,22,YNR012W
484,22,YDR007W
485,22,YOR128C
486,22,YKL024C
487,22,YLR014C
488,22,YEL063C
489,22,YOR202W
