,protein,deg,closeness,betweeness,eigenvector,bridging,clustering_coefficient,cluster,cluster_size
0,4932.YPL135W,14,0.2507485604606526,3.548963727176909e-05,3.332449073784757e-06,3.7550731558850173e-06,0.8681318681318682,1,17
1,4932.YCL017C,23,0.2618455864667682,0.0014632212080706542,1.2758767987212159e-05,4.1430688391306315e-05,0.3952569169960474,1,17
2,4932.YDL120W,22,0.2670264083067615,0.0016639937062318383,1.6246743968903908e-05,2.8398633789735153e-05,0.4155844155844156,1,17
3,4932.YER048W-A,20,0.2620767132081528,0.00040534217138723014,1.2366763039271157e-05,1.984037413838874e-05,0.5473684210526316,1,17
4,4932.YGL018C,26,0.26739806779105946,0.000900399079315844,1.7926412790912598e-05,2.253675504825047e-05,0.37846153846153846,1,17
5,4932.YJR122W,15,0.24133599349737678,7.925690492210065e-05,1.137029034689534e-06,6.0680892829528446e-06,0.7714285714285715,1,17
6,4932.YKL040C,21,0.25704391626003464,0.0009114401025643081,3.535142984325448e-06,3.103339396823522e-05,0.47619047619047616,1,17
7,4932.YLL027W,16,0.24190800681431004,0.00012690788480268695,4.506704077085128e-06,8.309692160659025e-06,0.7,1,17
8,4932.YLR369W,30,0.28626522920501357,0.0026175438174149187,4.345617604558156e-05,8.722508582293946e-05,0.3563218390804598,1,17
9,4932.YMR301C,20,0.2710148535391254,0.001856387942069753,0.000322901354108636,5.226177575968322e-05,0.3894736842105263,1,17
10,4932.YOR196C,17,0.23752727272727273,0.00042894633916789796,7.443353425713258e-07,2.0243294703851928e-05,0.5073529411764706,1,17
11,4932.YOR232W,42,0.302771855010661,0.00516420872293065,9.513758888345062e-05,4.315438176369459e-05,0.23693379790940766,2,6
12,4932.YPL059W,19,0.2513274336283186,0.00031675765678329727,5.3486838175718635e-06,1.4206894986014514e-05,0.6257309941520468,1,17
13,4932.YPL252C,23,0.26005255195477345,0.0016961030676131313,5.602623591827771e-06,4.536054893744896e-05,0.41106719367588934,1,17
14,4932.YPR067W,17,0.25082558943245525,0.0001459565872008715,3.3632747709741834e-06,8.925499638713871e-06,0.7352941176470589,1,17
15,4932.YAL044W-A,10,0.22705784204671858,3.819353950977618e-05,2.1343245163692416e-06,4.289700787617913e-06,0.6,1,17
16,4932.YAL046C,11,0.22727905358385525,4.2326993706004934e-05,2.1617109907879484e-06,4.000132337022569e-06,0.5818181818181818,1,17
17,4932.YOR226C,12,0.23545526638310144,1.2894487911428181e-05,7.76533583396953e-07,1.7871174998815564e-06,0.9393939393939394,1,17
18,4932.YGL043W,52,0.29693608509864533,0.0021016954704586167,0.0002643779933724766,1.9812085492925564e-05,0.3974358974358974,3,90
19,4932.YBL022C,9,0.27732020039059185,0.003095341452155196,9.201700869440984e-06,0.00032943854297283866,0.08333333333333333,4,5
20,4932.YBR154C,85,0.3164115481495834,0.005741225810470615,0.003591524548947978,2.0708818760596864e-05,0.2795518207282913,3,90
21,4932.YBR279W,13,0.2724163816832096,1.6717521598500786e-05,4.470965714378573e-05,3.6429497366737727e-06,0.8461538461538461,3,90
22,4932.YDL108W,40,0.29041436955361905,0.0012121367815028435,5.504497441837177e-05,2.0464583983644922e-05,0.391025641025641,3,90
23,4932.YDL140C,110,0.3311365710230153,0.024576091141251907,0.0007126986656114359,4.290505493369695e-05,0.18215179316096747,3,90
24,4932.YDR045C,31,0.2757514353259034,3.7889205996304144e-05,0.001311053038480077,1.9070580832691947e-06,0.6924731182795699,5,49
25,4932.YDR079C-A,36,0.2800308668438652,0.00015158751684531482,0.0001266343315289709,4.112451641770025e-06,0.6793650793650794,3,90
26,4932.YDR311W,30,0.2807288980574179,0.0005655396483419284,3.6233250601882314e-05,1.3917723354057048e-05,0.49195402298850577,3,90
27,4932.YDR404C,54,0.2927835051546392,0.0005158792588020754,0.0006039996634301755,6.863349432695547e-06,0.47658979734451434,3,90
28,4932.YDR443C,18,0.25629757513929213,0.0003949346658411645,6.9710146739307274e-06,3.245414344696308e-05,0.5816993464052288,3,90
29,4932.YER148W,99,0.3065515299418059,0.011312491757569798,0.0005347215166144057,2.5531063396941725e-05,0.21459492888064316,5,49
30,4932.YER164W,46,0.29431377849869333,0.0029286116169654876,0.0006612384832629411,4.355177697260016e-05,0.32270531400966185,5,49
31,4932.YER171W,57,0.29993571494168425,0.0037931712768643133,0.00014463725426646168,3.3794265292106e-05,0.34461152882205515,3,90
32,4932.YGL070C,48,0.28671758405758935,0.0001985925707480588,0.00032073832844333887,3.499116004064534e-06,0.5558510638297872,3,90
33,4932.YOR210W,72,0.30015623564010663,0.0023776170617290544,0.0013522361654463803,1.2727803359357355e-05,0.35406885758998435,3,90
34,4932.YNL230C,5,0.2636848054254804,5.7371337187171525e-05,9.475191873342257e-06,5.4820983189795576e-05,0.5,6,34
35,4932.YPR133C,14,0.271849508906276,1.596936257273008e-05,3.124221141289052e-05,3.2694916219131957e-06,0.8241758241758241,3,90
36,4932.YPL122C,34,0.28184328615809456,0.0001659299239037249,0.00012656265593589705,6.216584988402774e-06,0.7344028520499108,3,90
37,4932.YGR116W,37,0.2990842490842491,0.00201553937331888,0.0002447207388946174,5.386430746403611e-05,0.33633633633633636,3,90
38,4932.YOR123C,24,0.2929936305732484,0.0013057106337181156,5.720317700624644e-05,4.293970554760256e-05,0.4891304347826087,3,90
39,4932.YNL113W,69,0.3044937534961775,0.001656537010985671,0.00906825912196833,1.83647500580296e-05,0.39727195225916456,5,49
40,4932.YPL042C,31,0.2628994606777751,0.0006342335162543213,2.216560149750369e-05,1.3132305651493035e-05,0.43010752688172044,3,90
