,0
4932.Q0010,0.0001437704965077721
4932.Q0017,0.0
4932.Q0143,0.0001437704965077721
4932.Q0092,0.0025489716429697197
4932.Q0182,0.0
4932.Q0297,3.77190534026358e-05
4932.Q0032,0.0
4932.YPL135W,3.5632503179100682e-06
4932.YCL017C,4.120023858237553e-05
4932.YDL120W,6.365257383732742e-05
4932.YER048W-A,2.2360688952482184e-05
4932.YGL018C,2.032533572343613e-05
4932.YJR122W,5.424096621516958e-06
4932.YKL040C,2.943675842250038e-05
4932.YLL027W,2.817039029137868e-05
4932.YLR369W,7.080205904221685e-05
4932.YMR301C,9.748165428576901e-05
4932.YOR196C,2.451009921289954e-05
4932.YOR232W,4.437597748018566e-05
4932.YPL059W,2.0512612571057443e-05
4932.YPL252C,3.5788163458050836e-05
4932.YPR067W,7.250586809427081e-06
4932.YAL044W-A,1.0147042019214606e-05
4932.YAL046C,9.927737743545844e-06
4932.YOR226C,1.627568306019464e-06
4932.YGL043W,1.1934166706948884e-05
4932.YBL022C,0.00019998999526861383
4932.YBR154C,1.3721625609045286e-05
4932.YBR279W,2.1824468865570547e-06
4932.YDL108W,1.910693463808564e-05
4932.YDL140C,3.39412502374436e-05
4932.YDR045C,1.19387129329099e-06
4932.YDR079C-A,2.8888190308628894e-06
4932.YDR311W,1.137909381440521e-05
4932.YDR404C,4.227796339605415e-06
4932.YDR443C,2.7766066905193257e-05
4932.YER148W,1.7721831136261325e-05
4932.YER164W,2.660780945819467e-05
4932.YER171W,2.231983601549778e-05
4932.YGL070C,2.2192632258360922e-06
4932.YOR210W,9.808818571829094e-06
4932.YNL230C,3.426862526060458e-05
4932.YPR133C,2.218631068780908e-06
4932.YPL122C,3.8079220754574437e-06
4932.YGR116W,3.607101273311039e-05
4932.YOR123C,2.7231876154467334e-05
4932.YNL113W,1.3061538231548495e-05
4932.YPL042C,1.014636886387284e-05
4932.YOR224C,8.515448931218828e-06
4932.YHR143W-A,6.845259879308378e-06
4932.YLR418C,6.401038435003085e-06
4932.YKL110C,1.70248288999196e-05
4932.YGL127C,8.411019957264377e-06
4932.YGL244W,4.250174301425618e-06
4932.YPR086W,8.749224336780217e-06
4932.YOR298C-A,0.00020828456199023374
4932.YML010W,1.2229611071985831e-05
4932.YPR187W,9.0824728670343e-06
4932.YPR161C,1.064985653722732e-05
4932.YKL028W,1.4790758392501306e-06
4932.YIL021W,4.208688990858392e-05
4932.YGR063C,2.585263582510406e-05
4932.YPL129W,1.589103531031538e-05
4932.YGL207W,2.4020287126304517e-05
4932.YMR277W,1.5170158198195031e-05
4932.YKL005C,6.246373636474194e-05
4932.YJL006C,1.569326469912577e-05
4932.YKR062W,5.5797162646274895e-06
4932.YGR186W,2.5803864436730007e-06
4932.YIL143C,1.4234663240656192e-05
4932.YOL145C,2.5575562861471917e-05
4932.YJR035W,1.674775067070903e-05
4932.YOL005C,1.1474795872708207e-05
4932.YJR063W,6.060842977566843e-06
4932.YOR151C,2.0747611755687885e-05
4932.YJL140W,7.530537336507703e-06
4932.YML069W,1.0438280987893984e-05
4932.YGR005C,8.796126099288353e-06
4932.YOR207C,1.2099251586256191e-05
4932.YCR057C,3.6133257818206127e-06
4932.YDL150W,5.561425959345901e-06
4932.YDR005C,0.0002768392850904802
4932.YDR362C,1.7355724181258041e-06
4932.YDR496C,4.3738582456460394e-06
4932.YER082C,1.2668739713570083e-06
4932.YGR047C,2.7699203569732533e-05
4932.YGR245C,3.349007563186185e-06
4932.YGR246C,4.441568289039061e-06
4932.YHR170W,5.7426570026855865e-06
4932.YJL011C,1.246185309631301e-07
4932.YJL050W,8.597366695786789e-06
4932.YJL109C,2.56752651922034e-06
4932.YKL144C,4.6522109184136806e-07
4932.YKR024C,4.9851945159622e-07
4932.YKR025W,4.896075907991655e-07
4932.YLR129W,1.7640422672061169e-06
4932.YLR222C,1.5921031321921582e-06
4932.YLR409C,2.321393749899027e-06
4932.YMR049C,3.09908075883719e-06
4932.YMR229C,2.968951454206728e-06
4932.YNL039W,4.323402522879323e-06
4932.YNL132W,1.2980773146713064e-06
4932.YNL151C,5.817478790084791e-06
4932.YNL248C,3.492417176108451e-06
4932.YNR003C,7.4250963288289756e-06
4932.YOR116C,1.2076092637102534e-05
4932.YOR206W,1.5395265284158988e-06
4932.YPL226W,1.6176226292216267e-05
4932.YOR341W,1.6232012011354222e-05
4932.YPL217C,1.2976466964279554e-06
4932.YPL207W,0.00014057213513519304
4932.YPR190C,1.1412067275175157e-05
4932.YPR110C,2.1395203925896078e-05
4932.YPR010C,1.353160336139312e-05
4932.YPL012W,2.6597140837086808e-06
4932.YDR020C,1.586268184177964e-05
4932.YEL021W,8.765173587543779e-05
4932.YER005W,2.819883561625885e-05
4932.YDR400W,6.165925735907452e-05
4932.YLR245C,4.772008208444643e-05
4932.YKL024C,2.237690088439694e-05
4932.YNR012W,1.014619061533207e-05
4932.YBR031W,1.6393175099648074e-06
4932.YAL003W,2.434969845988065e-06
4932.YAL035W,3.858614122965327e-06
4932.YBL027W,1.697156988223359e-06
4932.YBL072C,2.4391569796832813e-06
4932.YBL087C,9.244978316740707e-07
4932.YBL092W,2.3984537009582553e-06
4932.YGL189C,8.170396202977463e-07
4932.YLR106C,1.075880742278471e-05
4932.YKL156W,1.3827131658126446e-05
4932.YKL180W,2.323660994214086e-06
4932.YDR447C,4.8363154838816394e-06
4932.YIL148W,1.5385621581360712e-05
4932.YNL002C,2.1346793541134265e-06
4932.YJL136C,8.202518180439559e-08
4932.YPL048W,1.6461165781609232e-05
4932.YJL177W,1.756899660589501e-06
4932.YLR287C-A,2.875544060894135e-07
4932.YOR312C,1.701683844250864e-07
4932.YFR032C-A,1.6282166951539724e-06
4932.YOL121C,4.865757195738116e-07
4932.YNL069C,5.566048036802388e-07
4932.YHR197W,6.982367643137194e-07
4932.YLR340W,9.190893248357214e-06
4932.YGL031C,2.3101031519112184e-06
4932.YPL143W,2.1517665210871838e-07
4932.YPL093W,2.674084578479783e-06
4932.YPR016C,1.931959710070347e-05
4932.YER102W,1.803780972320291e-06
4932.YNL209W,2.152032377639081e-05
4932.YHL001W,1.5056197713812204e-06
4932.YHR010W,2.0637292184965448e-07
4932.YER131W,9.092968302631073e-07
4932.YPL090C,1.5960374317841808e-06
4932.YGR085C,3.361953512987615e-07
4932.YDL061C,5.589113366138528e-07
4932.YOR063W,1.0000053807263006e-05
4932.YBR118W,0.0001078974348781862
4932.YLR367W,5.284329553343346e-07
4932.YER056C-A,1.2463447196218985e-06
4932.YNL301C,8.336499353460281e-07
4932.YPL146C,1.099203370411132e-05
4932.YJL189W,3.6695037662763327e-06
4932.YOL039W,3.004358029197993e-08
4932.YNL162W,2.22675034549759e-06
4932.YLR150W,0.0
4932.YDR064W,6.007596957695074e-06
4932.YLR333C,3.0414424072499646e-07
4932.YFR031C-A,3.0857518346358174e-06
4932.YJL190C,7.649449136719653e-07
4932.YOR369C,2.2699338485989823e-06
4932.YBR084C-A,3.333176743850936e-07
4932.YDR025W,1.99127939517955e-06
4932.YOR293W,7.49483846240582e-07
4932.YDL083C,1.1006041901120435e-06
4932.YOR234C,1.004328265586934e-07
4932.YMR142C,1.3968352942507703e-07
4932.YDR012W,1.62716934283039e-06
4932.YKL056C,1.623805670513261e-05
4932.YHR203C,1.3999813967762926e-06
4932.YGL030W,1.9717070429342393e-06
4932.YIL052C,2.7625387957506897e-08
4932.YGR118W,1.0721712069882713e-06
4932.YPL037C,1.295375339840633e-05
4932.YJR145C,2.186942343412441e-06
4932.YHR193C,1.339734087071662e-05
4932.YMR230W,1.1643447759772868e-07
4932.YPL079W,1.1541113301110609e-07
4932.YDR382W,3.004358029197993e-08
4932.YDR500C,1.1342034409376293e-06
4932.YNL081C,3.690170122351574e-06
4932.YEL054C,3.0452834457190745e-07
4932.YLR029C,1.6613314351016927e-06
4932.YIL133C,7.176715770582498e-07
4932.YDR450W,1.0641400172848783e-06
4932.YDL082W,5.534466716255092e-07
4932.YDR471W,1.4975041704756305e-06
4932.YPL220W,3.3748138842967846e-07
4932.YJL191W,2.181710841933484e-06
4932.YML073C,9.679039300030298e-07
4932.YDL191W,2.7813849152617617e-06
4932.YKR094C,1.8571024926331743e-05
4932.YNL067W,2.6565726710181383e-07
4932.YGL123W,9.020606153561237e-06
4932.YNL178W,2.1459322379745877e-05
4932.YER025W,1.5643100254610338e-05
4932.YMR242C,1.8720553650138194e-06
4932.YLL045C,4.2308043412235386e-08
4932.YDR161W,1.3962536013692348e-06
4932.YNL096C,6.477267042424392e-07
4932.YGR027C,2.478729011816399e-07
4932.YLR264W,2.5110840472933354e-06
4932.YHR141C,2.0811830369128173e-06
4932.YJR113C,6.169232335395039e-06
4932.YDL136W,3.978441880706456e-06
4932.YGL076C,1.217864238990346e-06
