,protein,deg,global_bet_cent,global_eig_cent,global_deg_cent,inv,mcl_bet_cent,mcl_deg_cent,mcl_eig_cent,icp55_shortest_path,pim1_shortest_path
0,4932.Q0010,6,0.001092655773459,1.9013188125739715e-08,0.0013126230584117,0,0.119047619047619,0.8571428571428571,0.4167996939304283,6,6
1,4932.Q0017,5,0.0,2.36541112600311e-10,0.0010938525486764,0,0.0,0.7142857142857142,0.3906333590069952,7,7
2,4932.Q0143,6,0.001092655773459,1.9013188125739715e-08,0.0013126230584117,0,0.119047619047619,0.8571428571428571,0.4167996939304283,6,6
3,4932.Q0092,3,0.0030587659715636,3.093142172490637e-06,0.0006563115292058,0,0.0,0.2857142857142857,0.1613510143855016,5,5
4,4932.Q0182,5,0.0,2.36541112600311e-10,0.0010938525486764,0,0.0,0.7142857142857142,0.3906333590069952,7,7
5,4932.Q0297,6,0.0004375410194705,2.365498734031118e-10,0.0013126230584117,0,0.2857142857142857,0.8571428571428571,0.4032927443964708,7,7
6,4932.Q0032,5,0.0,2.36541112600311e-10,0.0010938525486764,0,0.0,0.7142857142857142,0.3906333590069952,7,7
7,4932.YPL135W,14,3.2780697748468746e-05,3.332696892398172e-06,0.003062787136294,0,0.0060353535353535,0.8125,0.2494983968127593,4,3
8,4932.YCL017C,24,0.0014904244869243,1.284379085121343e-05,0.0052504922336469,1,0.0076557239057239,0.875,0.2659068827693888,4,3
9,4932.YDL120W,22,0.0024058469449435,1.6269930546344705e-05,0.0048129512141763,1,0.0050462962962962,0.8125,0.2492997951338334,3,2
10,4932.YER048W-A,21,0.0005654540781086,1.2372063036642176e-05,0.004594180704441,1,0.0076557239057239,0.875,0.2659068827693888,4,3
11,4932.YGL018C,26,0.0008021491947014,1.7945362680093282e-05,0.0056880332531174,1,0.0076557239057239,0.875,0.2659068827693888,3,2
12,4932.YJR122W,15,6.938420546859532e-05,1.1401406139580806e-06,0.0032815576460293,0,0.0249242424242424,0.875,0.2546473615548916,4,3
13,4932.YKL040C,21,0.000826475808493,3.5310628696287587e-06,0.004594180704441,0,0.0415446127946127,1.0,0.2826699101235989,4,2
14,4932.YLL027W,17,0.0005233923824212,4.503367064295759e-06,0.0037190986654998,0,0.0162205387205387,0.875,0.2609870052563074,4,3
