,protein,degree,inviable,icp55_shell,pim1_shell,betweenness,eigenvector,closeness,bridging,cluster_id,cluster_size,cluster_degree,cluster_eigenvector,cluster_closeness,betweenness/min-shell,closeness/min-shell,eigenvector/min-shell,bridging/min-shell,min-shell,cluster_betweenness
0,Q0143,6,0,6,6,0.001092656,1.90E-08,0.158253704,0.00014377,0,8,6,0.416799694,0.875,0.000182109,0.026375617,3.17E-09,2.40E-05,6,0.119047619
1,Q0017,5,0,7,7,0,2.37E-10,0.136655804,0,0,8,5,0.390633359,0.777777778,0,0.019522258,3.38E-11,0,7,0
2,Q0010,6,0,6,6,0.001092656,1.90E-08,0.158253704,0.00014377,0,8,6,0.416799694,0.875,0.000182109,0.026375617,3.17E-09,2.40E-05,6,0.119047619
3,Q0092,3,0,5,5,0.003058766,3.09E-06,0.187913669,0.002548972,0,8,2,0.161351014,0.538461538,0.000611753,0.037582734,6.19E-07,0.000509794,5,0
4,Q0032,5,0,7,7,0,2.37E-10,0.136655804,0,0,8,5,0.390633359,0.777777778,0,0.019522258,3.38E-11,0,7,0
5,Q0182,5,0,7,7,0,2.37E-10,0.136655804,0,0,8,5,0.390633359,0.777777778,0,0.019522258,3.38E-11,0,7,0
6,Q0297,6,0,7,7,0.000437541,2.37E-10,0.13665989,3.77E-05,0,8,6,0.403292744,0.875,6.25E-05,0.019522841,3.38E-11,5.39E-06,7,0.285714286
7,Q0142,1,0,8,8,0,1.44E-12,0.120232521,0,0,8,1,0.078061381,0.5,0,0.015029065,1.81E-13,0,8,0
8,YOR196C,18,0,4,3,0.000615795,7.45E-07,0.219696241,2.45E-05,1,12,10,0.283168573,0.916666667,0.000205265,0.07323208,2.48E-07,8.17E-06,3,0.001818182
9,YJR122W,15,0,4,3,6.94E-05,1.14E-06,0.22412356,5.42E-06,1,12,10,0.283168573,0.916666667,2.31E-05,0.074707853,3.80E-07,1.81E-06,3,0.001818182
10,YPR067W,17,0,4,3,0.000116353,3.36E-06,0.231033611,7.25E-06,1,12,11,0.303238749,1,3.88E-05,0.077011204,1.12E-06,2.42E-06,3,0.008636364
11,YER048W-A,21,1,4,3,0.000565454,1.24E-05,0.239607905,2.24E-05,1,12,11,0.303238749,1,0.000188485,0.079869302,4.12E-06,7.45E-06,3,0.008636364
12,YLL027W,17,0,4,3,0.000523392,4.50E-06,0.222606409,2.82E-05,1,12,10,0.283168573,0.916666667,0.000174464,0.074202136,1.50E-06,9.39E-06,3,0.001818182
13,YPL059W,21,0,4,3,0.000579246,5.35E-06,0.232124721,2.05E-05,1,12,11,0.303238749,1,0.000193082,0.077374907,1.78E-06,6.84E-06,3,0.008636364
14,YPL135W,14,0,4,3,3.28E-05,3.33E-06,0.230905233,3.56E-06,1,12,10,0.278772547,0.916666667,1.09E-05,0.076968411,1.11E-06,1.19E-06,3,0.006818182
15,YPL252C,24,1,4,3,0.001378782,5.63E-06,0.238395744,3.58E-05,1,12,11,0.303238749,1,0.000459594,0.079465248,1.88E-06,1.19E-05,3,0.008636364
16,YLR369W,30,0,4,2,0.002100155,4.35E-05,0.258306962,7.08E-05,1,12,8,0.228683142,0.785714286,0.001050077,0.129153481,2.17E-05,3.54E-05,2,0.001818182
17,YKL040C,21,0,4,2,0.000826476,3.53E-06,0.236349535,2.94E-05,1,12,11,0.303238749,1,0.000413238,0.118174767,1.77E-06,1.47E-05,2,0.008636364
18,YCL017C,24,1,4,3,0.001490424,1.28E-05,0.240705635,4.12E-05,1,12,11,0.303238749,1,0.000496808,0.080235212,4.28E-06,1.37E-05,3,0.008636364
19,YOR226C,12,0,4,3,1.14E-05,7.77E-07,0.21804045,1.63E-06,1,12,10,0.278772547,0.916666667,3.80E-06,0.07268015,2.59E-07,5.43E-07,3,0.006818182
20,YMR301C,20,1,4,3,0.002719582,0.000322619,0.247241454,9.75E-05,2,3,2,0.577350269,1,0.000906527,0.082413818,0.00010754,3.25E-05,3,0
21,YGL018C,26,1,3,2,0.000802149,1.79E-05,0.243799669,2.03E-05,2,3,2,0.577350269,1,0.000401075,0.121899835,8.97E-06,1.02E-05,2,0
22,YDL120W,22,1,3,2,0.002405847,1.63E-05,0.244791946,6.37E-05,2,3,2,0.577350269,1,0.001202923,0.122395973,8.13E-06,3.18E-05,2,0
23,YJR045C,40,1,4,2,0.003633843,6.11E-05,0.271275964,4.38E-05,3,7,4,0.446310758,0.75,0.001816922,0.135637982,3.06E-05,2.19E-05,2,0.066666667
24,YNL328C,11,0,4,3,2.89E-06,4.54E-06,0.23028868,5.99E-07,3,7,3,0.389040388,0.666666667,9.64E-07,0.076762893,1.51E-06,2.00E-07,3,0
25,YNL310C,2,1,5,3,0,9.58E-07,0.221506106,0,3,7,2,0.267399617,0.6,0,0.073835369,3.19E-07,0,3,0
26,YOR232W,42,1,4,2,0.00495558,9.56E-05,0.275311691,4.44E-05,3,7,6,0.534799252,1,0.00247779,0.137655845,4.78E-05,2.22E-05,2,0.533333333
