,protein,degree,inviable,icp55_shell,pim1_shell,betweenness,eigenvector,closeness,bridging,cluster_id,cluster_size,cluster_degree,cluster_eigenvector,cluster_closeness
0,YCR057C,208,0,4,3,0.0023979968669990874,0.05138819474029067,0.28423081706255443,3.6133257818206127e-06,0,190,154,0.09861115734758309,0.84375
1,YPR010C,173,0,4,3,0.007247008844321213,0.03256576286378974,0.28672688495797266,1.353160336139312e-05,0,190,128,0.08436803088596144,0.756
2,YHR197W,86,0,4,3,3.511237895938457e-05,0.023648342234634228,0.2669820688043923,6.982367643137194e-07,0,190,75,0.05422456225523282,0.6237623762376238
3,YMR128W,154,0,4,3,0.00020237661306251177,0.04257098958653825,0.2750962927298989,1.1296054770180573e-06,0,190,121,0.08187319498332928,0.7354085603112841
4,YJL125C,48,0,4,3,0.0003816244689783922,0.008766658535732767,0.25039715146535196,7.816164173335372e-06,0,190,37,0.02532275033823778,0.5542521994134897
5,YGR245C,165,0,4,3,0.0011232662106045504,0.03713645673136642,0.27929854576561164,3.349007563186185e-06,0,190,150,0.09632540701938705,0.8289473684210527
6,YER082C,185,0,4,3,0.0004022376791723376,0.04862828063289591,0.2772823779193206,1.2668739713570083e-06,0,190,140,0.09394749439562788,0.7941176470588235
7,YHR148W,165,0,4,3,0.00019627942961839215,0.04879903401784226,0.27322175732217574,9.521706654761544e-07,0,190,107,0.07512039244247279,0.6974169741697417
8,YBL004W,111,0,4,3,3.7152015291728203e-05,0.032856176282904624,0.2681095665434923,4.3515931484531817e-07,0,190,83,0.05801793716527079,0.6406779661016949
9,YOL010W,134,0,4,3,0.00011437103453062228,0.0394532304263555,0.2717598097502973,9.215820829947555e-07,0,190,102,0.07212843864651837,0.6847826086956522
10,YKL014C,47,0,4,4,9.963165858828925e-06,0.01176782627807377,0.2503422969494496,4.827466513219969e-07,0,190,45,0.033571544549758865,0.5675675675675675
11,YPL043W,192,0,4,3,0.0029460839164580106,0.04539060790115141,0.2859555833593994,6.295450408483316e-06,0,190,157,0.09951105420778802,0.8552036199095022
12,YMR229C,192,0,4,3,0.0008598731293272056,0.052697743482194914,0.2795889656859747,2.968951454206728e-06,0,190,140,0.09365478496555274,0.7941176470588235
13,YLR051C,82,0,4,4,6.0816316473359876e-05,0.02114863531141048,0.25557729941291585,9.825619887121193e-07,0,190,73,0.0518378867756113,0.6196721311475409
14,YGR280C,77,0,4,3,0.003727579020042617,0.015820960131525223,0.27800754166159836,6.002564200881228e-05,0,190,63,0.04239384495302738,0.6
15,YPL146C,133,0,4,4,0.0024496805126906986,0.03336811325234275,0.2763770481891287,1.099203370411132e-05,0,190,113,0.07609825438163631,0.7132075471698113
16,YMR093W,171,0,4,3,0.00019972280735023327,0.04721530067394767,0.27629352030947774,8.895940588865262e-07,0,190,129,0.08923330680481927,0.7590361445783133
17,YKL009W,241,0,4,3,0.002877909285547806,0.06343048767607846,0.29536055828379426,5.317995282837652e-06,0,190,151,0.09509731635116647,0.8325991189427313
18,YOR145C,199,0,4,3,0.0009065730376586669,0.05476562727076015,0.28547339495378465,2.7725673797244235e-06,0,190,134,0.0890222820027752,0.7745901639344263
19,YKL172W,204,0,4,3,0.0016000304676346724,0.05034285622997877,0.28672688495797266,3.44239249699258e-06,0,190,153,0.09636209115731337,0.84
20,YHR052W,194,0,4,3,0.0006200053721006996,0.0485376716202235,0.2857410764518347,1.6488807269103914e-06,0,190,152,0.0970682744786234,0.8362831858407079
21,YNL227C,68,0,4,4,3.424591645262709e-06,0.020174397742773215,0.2713725955829969,1.1177005403290448e-07,0,190,54,0.03401290423549478,0.5833333333333334
22,YMR217W,67,0,3,3,0.008985259935833007,0.009567154597065971,0.28433689972630005,5.838677136862936e-05,0,190,32,0.022060088186000047,0.546242774566474
23,YOL077C,207,0,3,3,0.0028164537543019555,0.0496085589104965,0.2914063496111182,4.4605739203058555e-06,0,190,155,0.09593016755176965,0.8475336322869955
24,YLR002C,186,0,4,3,0.006436685687385658,0.04437189259474241,0.29097969316952066,1.8575917976650482e-05,0,190,142,0.09163031758153652,0.8008474576271186
25,YDR365C,123,0,4,3,0.00019257010626886085,0.02978732951013115,0.2674037674037674,1.607623940579252e-06,0,190,116,0.08076137365983888,0.7213740458015268
26,YLR175W,166,0,3,3,0.002333656967688072,0.04324497261746919,0.2841424752906073,7.906380516695642e-06,0,190,128,0.08496663315653512,0.756
27,YHR065C,120,0,4,3,9.603858124441667e-05,0.030415887631860577,0.2663132137030995,8.666637701997353e-07,0,190,111,0.07987173136358826,0.7078651685393258
28,YKL078W,112,0,3,3,0.0017006549588352083,0.02474077592426596,0.272002380243975,5.62837313369737e-06,0,190,91,0.0642915313629348,0.6585365853658537
29,YFL002C,159,0,4,3,0.00015107922597336503,0.04480525200600013,0.2763770481891287,8.465818595798784e-07,0,190,132,0.08974188158312382,0.7682926829268293
30,YBL039C,35,0,4,4,0.0009474751774522062,0.007633240805254005,0.2639450282942603,4.3585199048704043e-05,0,190,27,0.018768477800867617,0.5384615384615384
31,YGR159C,70,0,4,3,3.842027089522069e-05,0.018400531504474602,0.2635645505391224,1.0583154689760863e-06,0,190,61,0.04426075287507836,0.5962145110410094
32,YLL008W,190,0,4,3,0.0011198056669981897,0.046656234210538924,0.2850817013845578,2.5423786315769773e-06,0,190,158,0.09794380205612511,0.8590909090909091
