"systematic_name_nonumber","gene_name","description","SGD","systematic_name_wnumber"
"Q0010",NA,"Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0017","S000007257","4932.Q0010"
"YPL135W","ISU1","Conserved protein of the mitochondrial matrix; performs a scaffolding function during assembly of iron-sulfur clusters, interacts physically and functionally with yeast frataxin (Yfh1p); ISU1 has a paralog, ISU2, that arose from the whole genome duplication; isu1 isu2 double mutant is inviable; human homolog ISCU implicated in mitochondrial myopathy, can complement isu1 isu2 double mutant","S000006056","4932.YPL135W"
"Q0017",NA,"Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0010","S000007258","4932.Q0017"
"YOL103W","ITR2","Myo-inositol transporter; member of the sugar transporter superfamily; expressed constitutively; ITR2 has a paralog, ITR1, that arose from the whole genome duplication","S000005463","4932.YOL103W"
"YJR122W","IBA57","Protein involved in incorporating iron-sulfur clusters into proteins; mitochondrial matrix protein; involved in the incorporation of iron-sulfur clusters into mitochondrial aconitase-type proteins; activates the radical-SAM family members Bio2p and Lip5p; interacts with Ccr4p in the two-hybrid system","S000003883","4932.YJR122W"
"YGL043W","DST1","General transcription elongation factor TFIIS; enables RNA polymerase II to read through blocks to elongation by stimulating cleavage of nascent transcripts stalled at transcription arrest sites; maintains RNAPII elongation activity on ribosomal protein genes during conditions of transcriptional stress","S000003011","4932.YGL043W"
"YOR207C","RET1","Second-largest subunit of RNA polymerase III; RNA polymerase III is responsible for the transcription of tRNA and 5S RNA genes, and other low molecular weight RNAs","S000005733","4932.YOR207C"
"YDR020C","DAS2","Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; weak similarity with uridine kinases and with phosphoribokinases","S000002427","4932.YDR020C"
"Q0143",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data","S000007277","4932.Q0143"
"YBR031W","RPL4A","Ribosomal 60S subunit protein L4A; N-terminally acetylated; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4A has a paralog, RPL4B, that arose from the whole genome duplication","S000000235","4932.YBR031W"
"Q0045","COX1","Subunit I of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits","S000007260","4932.Q0045"
